cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
79e422f486c8afd38f4542ca,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)It wasn't even worth a thought, because if we wanted to survive, we had to get on the escape pod.}","{fc(57e4f1)Es war nicht einmal einen Gedanken wert, denn wenn wir überleben wollten, mussten wir auf die Fluchtkapsel.}",translate,translated,displayed-string:fc-repair,6ee81955f2f28be3a2268815bc96762ec03a27e2f3c641f6ef2b6a7c6f5bd05b
758e1e13e7fa0c77918bcb5c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)It wasn't even worth a thought, because if we wanted to survive, we had to get on the escape pod.}","{fc(57e4f1)Es war nicht einmal einen Gedanken wert, denn wenn wir überleben wollten, mussten wir auf die Fluchtkapsel.}",translate,translated,displayed-string:fc-repair,6ee81955f2f28be3a2268815bc96762ec03a27e2f3c641f6ef2b6a7c6f5bd05b
23fb17a86b55817704559e86,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)We might even be able to shut all the zombies out if we got there quickly enough!},"{fc(57e4f1)Wir könnten sogar alle Zombies aussperren, wenn wir schnell genug da sind!}",translate,translated,displayed-string:fc-repair,fb5f963d62c2b87cc1fd4e293bab0d805b502b7b71f253d8c3f354943d4b9aa3
d250663c32461d0b8798408e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)We might even be able to shut all the zombies out if we got there quickly enough!},"{fc(57e4f1)Wir könnten sogar alle Zombies aussperren, wenn wir schnell genug da sind!}",translate,translated,displayed-string:fc-repair,fb5f963d62c2b87cc1fd4e293bab0d805b502b7b71f253d8c3f354943d4b9aa3
ae40f6461914815bca0421e7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I'd already grabbed her hand and started running before my mind reached that conclusion.},"{fc(57e4f1)Ich hatte bereits ihre Hand ergriffen und begann zu laufen, bevor mein Verstand zu diesem Schluss kam.}",translate,translated,displayed-string:fc-repair,d85d27bf36eed37cef8d45f478944e10342a7de38f3d7213b8dd77ab087121ef
ae4fdf3fa86f8e054c205dbd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I'd already grabbed her hand and started running before my mind reached that conclusion.},"{fc(57e4f1)Ich hatte bereits ihre Hand ergriffen und begann zu laufen, bevor mein Verstand zu diesem Schluss kam.}",translate,translated,displayed-string:fc-repair,d85d27bf36eed37cef8d45f478944e10342a7de38f3d7213b8dd77ab087121ef
a75e32e219fda5390bd8ecab,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"Run to the escape pod, Kyoshika!","Lauf zur Fluchtkapsel, Kyoshika!",translate,translated,displayed-string,91a9f2230028908b7d03d118571a555e77a2bb37accbbc7130860d29eb0145d1
a62b1b2a2884f8bede582da7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s14_A_Splatter_Bba_d100_m010_010_0040,s14_A_Splatter_Bba_d100_m010_010_0040,protected,protected,resource-or-id,a0a362782a870990a29a4674c54b935d530c9290f69262fd72562294b1bd4573
59f95d19aa82e3d42678adc8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"Run to the escape pod, Kyoshika!","Lauf zur Fluchtkapsel, Kyoshika!",translate,translated,displayed-string,91a9f2230028908b7d03d118571a555e77a2bb37accbbc7130860d29eb0145d1
4d2f76236b9cbcc456f1b262,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bba_d100_m010_010.mbe/000_Sheet1.csv,5,2,string 2,...!,...!,protected,protected,non-linguistic,10069c101bcc95c1e9d82d15bfa09c57f4d2d732534878c2195b5f3a83764abe
