cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
abb088c7515b666f6dcce280,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"*yawn* At ease, soldiers. It's time to hit the hay.","*gähnen* Ganz ruhig, Soldaten. Es ist Zeit, das Heu zu treffen.",translate,translated,displayed-string,1b154f2c4d039f3477ed6f3bff590d1fc8ec4d79a1c4f321d693c1e573642767
457a4831ad1f757fbdaa99fd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,s13_A_SFsfSFsf_Aab_d085_m020_010_0020,s13_A_SFsfSFsf_Aab_d085_m020_010_0020,protected,protected,resource-or-id,b5d56803563a1c03073fc94d6a23767b1455ef73d689eecb8b6cf4c9776e0a8a
14b1249bc6fb08479cd4d335,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"*yawn* At ease, soldiers. It's time to hit the hay.","*gähnen* Ganz ruhig, Soldaten. Es ist Zeit, das Heu zu treffen.",translate,translated,displayed-string,1b154f2c4d039f3477ed6f3bff590d1fc8ec4d79a1c4f321d693c1e573642767
f483d71094f5b8b7ebb27df4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,2,2,string 2,Make sure you get some serious R&R while you can so you're ready for the next enemy attack...,"Stellen Sie sicher, dass Sie einige ernsthafte R&R bekommen, während Sie können, so dass Sie für den nächsten Feind Angriff bereit sind...",translate,translated,displayed-string,cba0b788b3d82cb3f91b91029a7706a0aeebca26036f0f7330122a1b7cdf38f2
6e060ffc8fec8206fb2557ab,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,s13_A_SFsfSFsf_Aab_d085_m020_010_0030,s13_A_SFsfSFsf_Aab_d085_m020_010_0030,protected,protected,resource-or-id,77a83c1538c2729318098aaf22499976770ec8ade63618aa26581eb767554c81
c088345ec6afb95b47b42438,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,2,4,string 4,Make sure you get some serious R&R while you can so you're ready for the next enemy attack...,"Stellen Sie sicher, dass Sie einige ernsthafte R&R bekommen, während Sie können, so dass Sie für den nächsten Feind Angriff bereit sind...",translate,translated,displayed-string,cba0b788b3d82cb3f91b91029a7706a0aeebca26036f0f7330122a1b7cdf38f2
5ec43bcfae30f8f8ad7f8584,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"Well then, good night...","Also dann, gute Nacht...",translate,translated,displayed-string,8b7c806679ac2b411ecfca735c9eca78525c579fe346c0f0374f1a375b08ca9c
cfcf55fb1eff9ab5b31d93c1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,s13_A_SFsfSFsf_Aab_d085_m020_010_0040,s13_A_SFsfSFsf_Aab_d085_m020_010_0040,protected,protected,resource-or-id,376fd1dfa28872562a39ef6af396a6135469cb0312e335de17e1cf1d7d63de97
2c19a6bc73c8d1c60a971bd3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"Well then, good night...","Also dann, gute Nacht...",translate,translated,displayed-string,8b7c806679ac2b411ecfca735c9eca78525c579fe346c0f0374f1a375b08ca9c
bd968f1376b4db7d3a4c6c60,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d085_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Shortly after the nighttime announcement, Hiruko came to my room.}",{fc(57e4f1)Kurz nach der nächtlichen Ankündigung kam Hiruko in mein Zimmer.},translate,translated,displayed-string:fc-repair,deafdaa28ed46735fe8e3084a64c7a9593528ff286b10b528da85a18cd487fa9
