cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
4ab68a7f559968215cb19b24,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I ran. I ran for my life. I recklessly and single-mindedly sprinted forward.},{fc(57e4f1)Ich rannte um mein Leben. Ich sprintete rücksichtslos und einfältig vorwärts.},translate,translated,displayed-string:fc-repair,d50883cef72a2526ffe76d8a2fa372ca22492ba98ba80572f0525b94b627b0bc
9265e7f2f88d605b2486e95b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I ran. I ran for my life. I recklessly and single-mindedly sprinted forward.},{fc(57e4f1)Ich rannte um mein Leben. Ich sprintete rücksichtslos und einfältig vorwärts.},translate,translated,displayed-string:fc-repair,d50883cef72a2526ffe76d8a2fa372ca22492ba98ba80572f0525b94b627b0bc
2d3360812915135957564257,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)I could see the escape pod in the distance - a small, shining dot that looked no bigger than a grain of rice.}","{fc(57e4f1)Ich konnte die Fluchtkapsel in der Ferne sehen - ein kleiner, glänzender Punkt, der nicht größer aussah als ein Reiskorn.}",translate,translated,displayed-string:fc-repair,4c45ea5b8b0cb3c11c25e3106fbe6c79d2e7372efeaee725a9c9e863ec9db8bc
f454cf0e35f1bb27f8dbb41a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)I could see the escape pod in the distance - a small, shining dot that looked no bigger than a grain of rice.}","{fc(57e4f1)Ich konnte die Fluchtkapsel in der Ferne sehen - ein kleiner, glänzender Punkt, der nicht größer aussah als ein Reiskorn.}",translate,translated,displayed-string:fc-repair,4c45ea5b8b0cb3c11c25e3106fbe6c79d2e7372efeaee725a9c9e863ec9db8bc
1e10e9ee90be557261729d0d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I ran toward it. There was ferocious energy behind every stride.},"{fc(57e4f1)Ich rannte auf sie zu, und hinter jedem Schritt steckte heftige Energie.}",translate,translated,displayed-string:fc-repair,b49475c8411bf5ca43c501ffbb865bc4d283a0dc9b1518bd7a8acedf8388b178
93b576484fa4d8bd88197830,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I ran toward it. There was ferocious energy behind every stride.},"{fc(57e4f1)Ich rannte auf sie zu, und hinter jedem Schritt steckte heftige Energie.}",translate,translated,displayed-string:fc-repair,b49475c8411bf5ca43c501ffbb865bc4d283a0dc9b1518bd7a8acedf8388b178
1a3b48ca4713be74b274d920,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)I couldn't breathe. My chest ached. My heart raced so fast I thought it was going to burst.},"{fc(57e4f1)Ich konnte nicht atmen, meine Brust schmerzte, mein Herz raste so schnell, dass ich dachte, es würde platzen.}",translate,translated,displayed-string:fc-repair,b65709d01b64155a46e4786f8bdacf17fd683aaa8c17cb3380ef60ac44b9466f
aeded5abbd2f15541ff4db7a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)I couldn't breathe. My chest ached. My heart raced so fast I thought it was going to burst.},"{fc(57e4f1)Ich konnte nicht atmen, meine Brust schmerzte, mein Herz raste so schnell, dass ich dachte, es würde platzen.}",translate,translated,displayed-string:fc-repair,b65709d01b64155a46e4786f8bdacf17fd683aaa8c17cb3380ef60ac44b9466f
66e6cc640b06d300867efe54,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)I could hear the fibers of my muscles tearing. Pain tore through my brain, making my vision blur.}","{fc(57e4f1)Ich konnte die Fasern meiner Muskeln reißen hören. Schmerzen rissen durch mein Gehirn, wodurch mein Sehvermögen verwischt wurde.}",translate,translated,displayed-string:fc-repair,a1ba6c9138d25bb48327c697ddb2ec64750bde9cbd63b1aa4d143249b025e527
4538f3cf46ee04524739b4ae,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aaba_d100_m030_010.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)I could hear the fibers of my muscles tearing. Pain tore through my brain, making my vision blur.}","{fc(57e4f1)Ich konnte die Fasern meiner Muskeln reißen hören. Schmerzen rissen durch mein Gehirn, wodurch mein Sehvermögen verwischt wurde.}",translate,translated,displayed-string:fc-repair,a1ba6c9138d25bb48327c697ddb2ec64750bde9cbd63b1aa4d143249b025e527
