cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a1106c00d24e92713252f298,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 71,Tag 71,translate,translated,displayed-string,639755a9621dbeb578ce884964f35487606359804ed91155376dbb5fed4e4ad6
080b22189c6a6beb009c7dd8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
18c7bb7a9fc3329161b69aeb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 71,Tag 71,translate,translated,displayed-string,639755a9621dbeb578ce884964f35487606359804ed91155376dbb5fed4e4ad6
11591ae479294cd4976baf82,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
2dca97ce3fce2dc1cb0da70b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s13_A_SFsfSFsf_A0_d071_m010_010_0030,s13_A_SFsfSFsf_A0_d071_m010_010_0030,protected,protected,resource-or-id,4cffe070650f34e7c0b3e7af2b0318fd589306287842d9f34aee2ed9c8ea10dd
9b71e2389ae6c43125795808,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
fd3ee910f5e8bbb1de930112,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 71st day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 71. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,2cf4caf76cd6a9b4f3bd21fe2197759efa4b57dbab38b852674f2ba404f78b19
b097e2b0737f267f17b3bc35,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s13_A_SFsfSFsf_A0_d071_m010_010_0040,s13_A_SFsfSFsf_A0_d071_m010_010_0040,protected,protected,resource-or-id,91f0a210062add64ea6082f6267e1f7998ea73b5a97f6c1b649d0293585af560
f13b570b4ee78a992242d5b8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 71st day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 71. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,2cf4caf76cd6a9b4f3bd21fe2197759efa4b57dbab38b852674f2ba404f78b19
5b93c73244ad93bc63057e45,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
437757da0243229b4d462dec,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s13_A_SFsfSFsf_A0_d071_m010_010_0050,s13_A_SFsfSFsf_A0_d071_m010_010_0050,protected,protected,resource-or-id,b5039c127baf38187ad108f4875d57d12d0886da82182bbf7a8d76cbc285a75a
7cf5be355f70fa86f9216eec,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
f1dc3d74be597e4c4058d9ac,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
e22810e9365002e29f4046ac,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s13_A_SFsfSFsf_A0_d071_m010_010_0060,s13_A_SFsfSFsf_A0_d071_m010_010_0060,protected,protected,resource-or-id,1df7c919ffef9317830b0c3ebf4f11535436a22a1012474564b77faadd08546b
3494290cfd42523ed8d8d96f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
5d179f652ca8ad6643b87ca1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"{fc(57e4f1)Our three-day party binge finally ended yesterday. The next enemy attack would be tomorrow, Day 72.}","{fc(57e4f1)Unsere dreitägige Party-Binge endete gestern, der nächste feindliche Angriff wäre morgen, Tag 72.}",translate,translated,displayed-string:fc-repair,e09e656b1e8b864ce449c7082d4b380d0b6e2aa149052205fa0113472787d85a
ed01d7a1742524756e76c330,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"{fc(57e4f1)Our three-day party binge finally ended yesterday. The next enemy attack would be tomorrow, Day 72.}","{fc(57e4f1)Unsere dreitägige Party-Binge endete gestern, der nächste feindliche Angriff wäre morgen, Tag 72.}",translate,translated,displayed-string:fc-repair,e09e656b1e8b864ce449c7082d4b380d0b6e2aa149052205fa0113472787d85a
090bcb03ceabea95281624e2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)We couldn't keep up the merriment forever. We needed to switch gears.},"{fc(57e4f1)Wir konnten die Heiterkeit nicht ewig aufrecht erhalten, wir mussten die Gänge wechseln.}",translate,translated,displayed-string:fc-repair,435c05fc0f20d903e1b09069bc10aea9405333fe72392a9a54b82ca852cce69e
b0ee7e52cd8501c225b82e11,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)We couldn't keep up the merriment forever. We needed to switch gears.},"{fc(57e4f1)Wir konnten die Heiterkeit nicht ewig aufrecht erhalten, wir mussten die Gänge wechseln.}",translate,translated,displayed-string:fc-repair,435c05fc0f20d903e1b09069bc10aea9405333fe72392a9a54b82ca852cce69e
7b25aae0387830c442fed50f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"{fc(57e4f1)Once I was done with my breakfast and back in my room, I headed back out to make my rounds.}","{fc(57e4f1)Sobald ich mit meinem Frühstück fertig war und zurück in meinem Zimmer, ging ich zurück, um meine Runde zu machen.}",translate,translated,displayed-string:fc-repair,9fec8bdafbfa6ad04c34f02bc99a9fa7543224a147a68252f45d3f5fe4257360
91ae7a77bfeb9d6180d48851,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_a0_d071_m010_010.mbe/000_Sheet1.csv,8,4,string 4,"{fc(57e4f1)Once I was done with my breakfast and back in my room, I headed back out to make my rounds.}","{fc(57e4f1)Sobald ich mit meinem Frühstück fertig war und zurück in meinem Zimmer, ging ich zurück, um meine Runde zu machen.}",translate,translated,displayed-string:fc-repair,9fec8bdafbfa6ad04c34f02bc99a9fa7543224a147a68252f45d3f5fe4257360
