cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a8b98a2d2e07faf762f61280,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I chose to do what was right.},"{fc(57e4f1)Ich habe mich entschieden, das Richtige zu tun.}",translate,translated,displayed-string:fc-repair,a168c707fe52ba89cd66362678607c6096dc4c1947ef7e49350c86c9af505477
5f7be2599daeb154f0c1fa5c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I chose to do what was right.},"{fc(57e4f1)Ich habe mich entschieden, das Richtige zu tun.}",translate,translated,displayed-string:fc-repair,a168c707fe52ba89cd66362678607c6096dc4c1947ef7e49350c86c9af505477
8cfc2800418c340481913124,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I chose the path that was right for this planet. A path to peace.},"{fc(57e4f1)Ich wählte den Weg, der für diesen Planeten richtig war, einen Weg zum Frieden.}",translate,translated,displayed-string:fc-repair,ce4b14c694c3981a379666cc4473de2b0e6d1de3e082bb07470e554df0ea1d7d
ace28c826304a842658743a6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I chose the path that was right for this planet. A path to peace.},"{fc(57e4f1)Ich wählte den Weg, der für diesen Planeten richtig war, einen Weg zum Frieden.}",translate,translated,displayed-string:fc-repair,ce4b14c694c3981a379666cc4473de2b0e6d1de3e082bb07470e554df0ea1d7d
3cd6cddfca600e0a1ec99b66,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I did what Nozomi Kirifuji wanted... And granted her last request.},"{fc(57e4f1)Ich tat, was Nozomi Kirifuji wollte, und gewährte ihr die letzte Bitte.}",translate,translated,displayed-string:fc-repair,6db708b8e4caaf80be6fc16d77b4f46d17729016160e89f2db0ae7f8d5f1674c
f6b331e32037c49d563f1aa1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I did what Nozomi Kirifuji wanted... And granted her last request.},"{fc(57e4f1)Ich tat, was Nozomi Kirifuji wollte, und gewährte ihr die letzte Bitte.}",translate,translated,displayed-string:fc-repair,6db708b8e4caaf80be6fc16d77b4f46d17729016160e89f2db0ae7f8d5f1674c
99833e6c9331dab74780a10f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"Thank you, Takumi... I'm so glad to have met you...","Danke, Takumi, ich bin so froh, dich kennengelernt zu haben.",translate,translated,displayed-string,abb1f38f49af37ee7a01122a7acdcecf2d2b8ccb9dc763433c64b44f37df7c9e
0777ebe734cd2dc84aca902a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s03_0_DokusaiR_Ab_d099_m010_010_0040,s03_0_DokusaiR_Ab_d099_m010_010_0040,protected,protected,resource-or-id,9efa13815fe4bb2785765ba092f4436c3eb865aa9a14a946003dc0e841c1883f
16b364e63ffe75b1dc9b61f5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"Thank you, Takumi... I'm so glad to have met you...","Danke, Takumi, ich bin so froh, dich kennengelernt zu haben.",translate,translated,displayed-string,abb1f38f49af37ee7a01122a7acdcecf2d2b8ccb9dc763433c64b44f37df7c9e
ae0410be9dc9b6daefc0f5b4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)I'd saved Kamyuhn and ensured Futurum would follow the path of justice from now on.},"{fc(57e4f1)Ich hatte Kamyuhn gerettet und dafür gesorgt, dass Futurum von nun an dem Weg der Gerechtigkeit folgen würde.}",translate,translated,displayed-string:fc-repair,75a466a99b6bf7724623e1947440de34286a1ca2afa6d68bf6908979e170143d
a4aa7bc74066f6ba6149fefe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)I'd saved Kamyuhn and ensured Futurum would follow the path of justice from now on.},"{fc(57e4f1)Ich hatte Kamyuhn gerettet und dafür gesorgt, dass Futurum von nun an dem Weg der Gerechtigkeit folgen würde.}",translate,translated,displayed-string:fc-repair,75a466a99b6bf7724623e1947440de34286a1ca2afa6d68bf6908979e170143d
5f5d37a4c88ece6b087a68c3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"{fc(57e4f1)But at the same time, I'd I killed the person I cared about the most.}","{fc(57e4f1)Aber gleichzeitig habe ich die Person getötet, die mir am meisten am Herzen lag.}",translate,translated,displayed-string:fc-repair,9955f05933d08917a1f7eca3f97d2138bce984a74319743833c9ee10c2ceb877
6c78dde4f519345aae655d68,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"{fc(57e4f1)But at the same time, I'd I killed the person I cared about the most.}","{fc(57e4f1)Aber gleichzeitig habe ich die Person getötet, die mir am meisten am Herzen lag.}",translate,translated,displayed-string:fc-repair,9955f05933d08917a1f7eca3f97d2138bce984a74319743833c9ee10c2ceb877
94ee00fd5027acec22ecacc1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,7,2,string 2,"What is wrong, Takumi? Don't you realize what a special day this is?","Ist dir nicht klar, was für ein besonderer Tag das ist?",translate,translated,displayed-string,8400a756f50e6a752ead5917573f20d28abfa11734cf69c28ac3c51b3c02b851
f7c8829588ba626fe888c51f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,s03_0_DokusaiR_Ab_d099_m010_010_0080,s03_0_DokusaiR_Ab_d099_m010_010_0080,protected,protected,resource-or-id,b7b1218293303b32efedfc550c08c2cb1e6508c3a06b3f116939415bcfaf191a
53f5ccc8a9a4f19be20fdaaa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s03_0_dokusair_ab_d099_m010_010.mbe/000_Sheet1.csv,7,4,string 4,"What is wrong, Takumi? Don't you realize what a special day this is?","Ist dir nicht klar, was für ein besonderer Tag das ist?",translate,translated,displayed-string,8400a756f50e6a752ead5917573f20d28abfa11734cf69c28ac3c51b3c02b851
