cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
ad0e3a894722c224e496637d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,1,2,string 2,Takumi...?,Takumi...? Nein.,translate,translated,displayed-string,1f4c5ba0bbc31cfb4c2bcc04e2e94263d3d37370ea25f32ad50ea8d5420fa3d3
2f116ab8a7f6b455d4903e53,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a2d65cdafbc07aa1b9283595,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,1,4,string 4,Takumi...?,Takumi...? Nein.,translate,translated,displayed-string,1f4c5ba0bbc31cfb4c2bcc04e2e94263d3d37370ea25f32ad50ea8d5420fa3d3
4b5e7a70c17686184bef5900,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,2,2,string 2,What are you doing here?!,Was machst du hier?!,translate,translated,displayed-string,5b955bc53532555d1959ec8d8748e4e0be43e26080c2dee07795833745a86e1e
68ead314cac763e7ab7773bf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
95ab189829683794bb4a44bb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,2,4,string 4,What are you doing here?!,Was machst du hier?!,translate,translated,displayed-string,5b955bc53532555d1959ec8d8748e4e0be43e26080c2dee07795833745a86e1e
e92b393bf48419444ba4cbd4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,3,2,string 2,Um... Takumi underwent mitosis?,Takumi wurde mitosiert?,translate,translated,displayed-string,692a205586b8efc37d81feb53c5b3a7f8106e6c630a5e9699e818918ce9455b7
b9904829f87a2651919cada5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5da5ea05921326b08fcd1135,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,3,4,string 4,Um... Takumi underwent mitosis?,Takumi wurde mitosiert?,translate,translated,displayed-string,692a205586b8efc37d81feb53c5b3a7f8106e6c630a5e9699e818918ce9455b7
55ae65cb24c1e723b9680c83,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,4,2,string 2,Stop talking about me like I'm some kind of amoeba. I've been here the whole time.,"Hör auf, über mich zu reden, als wäre ich eine Art Amöbe.",translate,translated,displayed-string,26b82dda73af3afb8f8aac93f2777ce38b991593d29928dbf05df7f976cd50f7
4fb33ee658c554027a1af2b3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6e29ce47c0a0a8d4b643d739,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,4,4,string 4,Stop talking about me like I'm some kind of amoeba. I've been here the whole time.,"Hör auf, über mich zu reden, als wäre ich eine Art Amöbe.",translate,translated,displayed-string,26b82dda73af3afb8f8aac93f2777ce38b991593d29928dbf05df7f976cd50f7
633f112605a359e60b2d879f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,5,2,string 2,I doubt it! We just saw you going up the stairs.,Ich bezweifle es! Wir haben dich gerade die Treppe hinaufgehen sehen.,translate,translated,displayed-string,a2fe51ba97cfe28e01057cbe0ea6f165627010927c354bebd1b0fca18ff012a2
08852180392dd882d84e7798,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_abb_d100_m050_020.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
