cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
660e4cca067c79b90a41d630,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,1,1,string 1,"Get String, Plastic Bag, and Fashionable Pouch to Unlock","Holen Sie sich String, Plastiktüte und modische Tasche zu entsperren",translate,translated,displayed-string,da2142816b6b4a9ce447394431e7aa151b3e0ef6410602ecd22e31aaffee7533
1928e0a383a02921038aac07,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,2,1,string 1,"Get Cloth, Cotton, and Collar to Unlock","Tuch, Baumwolle und Kragen entriegeln",translate,translated,displayed-string,34441852bb3f56e349818b89789a99d7b761847e6f5193c7b34263e3ab0f7381
7c95aaf8b7369c8449bc5143,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,3,1,string 1,"Get Needle, Thread, Scissors, and Cotton to Unlock","Nadel, Faden, Scheren und Baumwolle zum Entsperren bringen",translate,translated,displayed-string,bf745871ad2ceb5a79b2fe2ec3d5ea45988757bc0b4a1cce60d20ee4f2c86623
c6890cc7e62bf39f33760a2f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,4,1,string 1,"Get Grill, Charcoal, and Gas Canister to Unlock","Grill, Kohle und Gaskanister zum Entsperren bringen",translate,translated,displayed-string,559ceaf88330dcf2bfa88a4f7c07b2b9d50849bd0a565b58771ac8b5e671f5d5
0ebdf9102b92dc4b9eb6c93a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,5,1,string 1,"Get Cracked Lens, Tripod, and Pocket Mirror to Unlock","Cracked Lens, Stativ und Pocket Mirror zum Entsperren bringen",translate,translated,displayed-string,edea7206fb2540ed7755876f22cd79c93eb3d1ba1c5a215e0f3df05f3a92820a
8cdab91debbdb3333135c872,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,6,1,string 1,"Get Tire, Engine, and Bicycle to Unlock","Reifen, Motor und Fahrrad zum Entsperren bringen",translate,translated,displayed-string,869ab91523d59b843ce3dc766984fa65d5df4a2885afdc40471a4ad48a254eb6
4eb72b5ecc755cda525b617c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,7,1,string 1,"Get Cool Herb, Supplements, and Wafer Paper to Unlock","Coole Kräuter, Ergänzungen und Wafer Papier zu entsperren",translate,translated,displayed-string,1be3aabef4d5779995ddb234016607c3381629a1cc21eecaa690dfe62dedb308
e13f8275abcea0d880dd86f6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,8,1,string 1,Get Black Lens and Glasses Frames to Unlock,Schwarze Gläser und Brillenrahmen zum Entsperren bringen,translate,translated,displayed-string,2ab6e9a6fc8d6771dba7f2a72c222aa8c481e2581ab3f78f8cf11dd64761c117
e066d879f0d3256d30570f65,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,9,1,string 1,"Get Animal Fossil, Sanshokupan, and Sturdy Rubber Balloons to Unlock","Tierische Fossil-, Sanshokupan- und Sturdy Rubber-Ballons werden entriegelt",translate,translated,displayed-string,2351a838481542937361224f4de52b8b3589ce58ef47cbb9b0c665fd348aaf20
d9891d223d4c36b1b48424e8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/field_present_explanation.mbe/000_field_present_explanation.csv,10,1,string 1,Get Silk Fabric and Rubber Sheets to Unlock,Erhalten Sie Seide Stoff und Gummi-Blätter zu entsperren,translate,translated,displayed-string,1e73c9e0829f7d4fb3adbcc8a01690b892fc887628c5e900d34c2e0360609071
