cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
cf2c1726e0c6f22b8f747e6a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 89,Tag 89,translate,translated,displayed-string,9e6ff467e492b725311c7a48fb5362e43a8f836a1a6a4470e2516223a9732e18
68f51fba1f17288184276674,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7061bfd090cf346d36b5873c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 89,Tag 89,translate,translated,displayed-string,9e6ff467e492b725311c7a48fb5362e43a8f836a1a6a4470e2516223a9732e18
21dcca3aeef292da052a273c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,2,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
67e505b04bab89f03fab0d28,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0b2899a7eb6bd749affff846,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,2,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
5b6e4e906f997563ddd207d6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"Mn, nn...? Who's here this late at night?",Wer ist so spät in der Nacht hier?,translate,translated,displayed-string,5626ef6a1277bfeba80843098c52ac6286c3d7eb47a585e26d58a167f6bd9ae8
ce53bdc5b328867ec65084c4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7212669ce11c50d422190e5b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"Mn, nn...? Who's here this late at night?",Wer ist so spät in der Nacht hier?,translate,translated,displayed-string,5626ef6a1277bfeba80843098c52ac6286c3d7eb47a585e26d58a167f6bd9ae8
c529df28a034516753d098aa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ab_d089_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Cautiously, I sat in bed and waited to see what happened next.}","{fc(57e4f1)Vorsichtig saß ich im Bett und wartete darauf, was als nächstes geschah.}",translate,translated,displayed-string:fc-repair,ced6e3e02c2e310f302f38d2a7aeefecc6bc0ca7b9c0f1572d32f087a21f5c5a
