cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5ac42a3bedd8407be0d16f68,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,1,2,string 2,*huff...* *huff...*,* huff... * * huff... * * huff... * huff... * huff... *,translate,translated,displayed-string,169f433c3deefc9b27f1f487f7f76c4b82dd16706bbc5f68a6a14f8f48274509
19a1fe97473a876650999a1d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b70202b3b4c28be208223bbe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,1,4,string 4,*huff...* *huff...*,* huff... * * huff... * * huff... * huff... * huff... *,translate,translated,displayed-string,169f433c3deefc9b27f1f487f7f76c4b82dd16706bbc5f68a6a14f8f48274509
311963d3fa256bb9cf2815cc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)We ran back to the academy as quickly as we could, carrying Nozomi the whole way.}",{fc(57e4f1)Wir rannten so schnell wir konnten zur Akademie zurück und trugen Nozomi den ganzen Weg.},translate,translated,displayed-string:fc-repair,1f5a97831ead2eb0c8fbf9b27a389d191a99ce6ac9374be4983e311a7da0bcb5
9092b28f5d6ba75fe610287f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)We ran back to the academy as quickly as we could, carrying Nozomi the whole way.}",{fc(57e4f1)Wir rannten so schnell wir konnten zur Akademie zurück und trugen Nozomi den ganzen Weg.},translate,translated,displayed-string:fc-repair,1f5a97831ead2eb0c8fbf9b27a389d191a99ce6ac9374be4983e311a7da0bcb5
ae1699fa56643710acd01f41,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"Don't die, Nozomi...!","Stirb nicht, Nozomi!",translate,translated,displayed-string,7700b34b666659c5c91426b8f2529949a1f5c1a70ed93f5e033074bd31532a11
a54bd59e6e009ae3fadd09af,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c1eb1389ba387ad804918ad0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"Don't die, Nozomi...!","Stirb nicht, Nozomi!",translate,translated,displayed-string,7700b34b666659c5c91426b8f2529949a1f5c1a70ed93f5e033074bd31532a11
ff506052b8a533682090b345,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,4,2,string 2,Hold on just a little longer!,Warte noch ein bisschen!,translate,translated,displayed-string,f7790cb6be10f2d7c1c16b506969155c0e3e5a4f378d8081e4b9fcf213fefabc
9a3e19b4b6b77eb290ff596e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
51b27a6a5372b2d08b67e3c9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,4,4,string 4,Hold on just a little longer!,Warte noch ein bisschen!,translate,translated,displayed-string,f7790cb6be10f2d7c1c16b506969155c0e3e5a4f378d8081e4b9fcf213fefabc
5757d6ad6ec2a9328b0bc1be,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)As I ran, I prayed hard for Nozomi to survive this.}","{fc(57e4f1)Als ich rannte, betete ich hart für Nozomi, um das zu überleben.}",translate,translated,displayed-string:fc-repair,17e1ed94168a0b55b7e9351c82e1595d966c6f776fd2d794a2e2f97724d697f7
86d94614d2ddad18b1275a71,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)As I ran, I prayed hard for Nozomi to survive this.}","{fc(57e4f1)Als ich rannte, betete ich hart für Nozomi, um das zu überleben.}",translate,translated,displayed-string:fc-repair,17e1ed94168a0b55b7e9351c82e1595d966c6f776fd2d794a2e2f97724d697f7
1f554a4e9dca84c37e21d145,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)I didn't want to see yet another friend dying on me...especially not Nozomi.},"{fc(57e4f1)Ich wollte nicht, dass noch ein anderer Freund an mir stirbt... besonders nicht Nozomi.}",translate,translated,displayed-string:fc-repair,7aed8c46eb25c2ef9aba186f92c32b01e6223a3d18e8ff5b13b9cca1cb126555
9ecedf6e2add225cd7ab27dc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)I didn't want to see yet another friend dying on me...especially not Nozomi.},"{fc(57e4f1)Ich wollte nicht, dass noch ein anderer Freund an mir stirbt... besonders nicht Nozomi.}",translate,translated,displayed-string:fc-repair,7aed8c46eb25c2ef9aba186f92c32b01e6223a3d18e8ff5b13b9cca1cb126555
17ef3b7973bf9efdf3ea4e28,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)I came all the way back to prevent her death in the first place.},"{fc(57e4f1)Ich kam den ganzen Weg zurück, um ihren Tod überhaupt zu verhindern.}",translate,translated,displayed-string:fc-repair,8c70a449b555d9f2975bb6ad16b59757707064160a42677be3771022f6be0002
6d647858a0ebeb539352ceb7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)I came all the way back to prevent her death in the first place.},"{fc(57e4f1)Ich kam den ganzen Weg zurück, um ihren Tod überhaupt zu verhindern.}",translate,translated,displayed-string:fc-repair,8c70a449b555d9f2975bb6ad16b59757707064160a42677be3771022f6be0002
ba28223bfdfa4638b9f4dcb0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)All that would be for nothing if she died now.},"{fc(57e4f1)All das wäre umsonst, wenn sie jetzt sterben würde.}",translate,translated,displayed-string:fc-repair,52cc6415c5391ea6166904a5f0f5e7c66a32a8bb012843d297ec9ebfaaa1bf74
4509d4f726e7e1b7e80f10dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)All that would be for nothing if she died now.},"{fc(57e4f1)All das wäre umsonst, wenn sie jetzt sterben würde.}",translate,translated,displayed-string:fc-repair,52cc6415c5391ea6166904a5f0f5e7c66a32a8bb012843d297ec9ebfaaa1bf74
4526e9dc01d881b7ecc1653c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,9,2,string 2,*huff...* *huff...*,* huff... * * huff... * * huff... * huff... * huff... *,translate,translated,displayed-string,169f433c3deefc9b27f1f487f7f76c4b82dd16706bbc5f68a6a14f8f48274509
6d5df67c1c8863a9acf5cff2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b23187fb0aa434b7f0ca17fe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,9,4,string 4,*huff...* *huff...*,* huff... * * huff... * * huff... * huff... * huff... *,translate,translated,displayed-string,169f433c3deefc9b27f1f487f7f76c4b82dd16706bbc5f68a6a14f8f48274509
66816657726fcdfcfc8e38ed,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_aab_d047_m020_010.mbe/000_Sheet1.csv,10,2,string 2,"{fc(57e4f1)Once we get back, I'll grab Yugamu and get him to treat Nozomi's injuries.}","{fc(57e4f1)Sobald wir zurück sind, hole ich Yugamu und bringe ihn dazu, Nozomis Verletzungen zu behandeln.}",translate,translated,displayed-string:fc-repair,882108c5d6edb574616774c88676d050090cdaabb293045dc5ed074a2da3ea67
