cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
04f44a7362d040292ad5e69e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I was the first to leave the Cafeteria and escape to my room.},"{fc(57e4f1)Ich war der Erste, der die Cafeteria verließ und in mein Zimmer flüchtete.}",translate,translated,displayed-string:fc-repair,67ffba4503debd431b6c9dbb6dc51404bd30028d814313ffcfa6979539bacabb
b2273b5cacc3ca26f833b1cb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I was the first to leave the Cafeteria and escape to my room.},"{fc(57e4f1)Ich war der Erste, der die Cafeteria verließ und in mein Zimmer flüchtete.}",translate,translated,displayed-string:fc-repair,67ffba4503debd431b6c9dbb6dc51404bd30028d814313ffcfa6979539bacabb
99b817ea7ad30a8a9c1dc2af,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)No one spoke up to stop me or wanted to hear more details.},"{fc(57e4f1)Niemand sprach sich aus, um mich aufzuhalten oder wollte mehr Details hören.}",translate,translated,displayed-string:fc-repair,d9195e406dc9bdecca8b3ea82a75b914b53d4f04f143853eb406016eb2e99a72
d344dbb18131ebf7c9df4108,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)No one spoke up to stop me or wanted to hear more details.},"{fc(57e4f1)Niemand sprach sich aus, um mich aufzuhalten oder wollte mehr Details hören.}",translate,translated,displayed-string:fc-repair,d9195e406dc9bdecca8b3ea82a75b914b53d4f04f143853eb406016eb2e99a72
e3074b63eaff97a61aabb15a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,3,2,string 2,*sigh*,*sigh*,review,pending,ambiguous-single-token,76d829f91a9f7c781153af999425894c05589e9caf05660e2feee02c5fc8b6fb
435590f2d7c6e1a73fa990ee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b821c57ee89caaa60be115ee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,3,4,string 4,*sigh*,*sigh*,review,pending,ambiguous-single-token,76d829f91a9f7c781153af999425894c05589e9caf05660e2feee02c5fc8b6fb
e15af0494040dec797a3c6c9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)I somehow felt extremely exhausted.},{fc(57e4f1)Ich fühlte mich irgendwie extrem erschöpft.},translate,translated,displayed-string:fc-repair,02903d51bd2cd5a365c3211685bbf831134ed537112961871df8a56c2f6adcb6
5407117d7ebd1f93f2e9620b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)I somehow felt extremely exhausted.},{fc(57e4f1)Ich fühlte mich irgendwie extrem erschöpft.},translate,translated,displayed-string:fc-repair,02903d51bd2cd5a365c3211685bbf831134ed537112961871df8a56c2f6adcb6
82dd161874404f29ce27a4ae,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_aabaaaa_d036_m020_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)Despite the fact that I did practically nothing and only spoke words that I'd already planned to say...},"{fc(57e4f1)Trotz der Tatsache, dass ich praktisch nichts tat und nur Worte sprach, die ich bereits beabsichtigt hatte zu sagen...}",translate,translated,displayed-string:fc-repair,9fbfda1ab8a3aeec53bd54ed5c9d38097a2e3d04a513569976fb2fbf0213493e
