cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8dffb4ec603cb7b9c70ac8dd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,1,2,string 2,My parents were rather average people. Average to the point of tedium.,Meine Eltern waren eher durchschnittliche Menschen. Durchschnittlich bis zum Tedium.,translate,translated,displayed-string,f9a0b7a1ec5bb2cc9913ef54b17c880cd18d4d1e456721c03d00931a37298248
98d688739df63884f34180dc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,1,3,string2 3,k_chr003HIRU_02_0010,k_chr003HIRU_02_0010,protected,protected,resource-or-id,1ff5067254ab319e9fe802c6f482850f101bb821dc20bffb2dcee21b3c0600f7
272728c56f4a481d0b1db36e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,1,4,string 4,My parents were rather average people. Average to the point of tedium.,Meine Eltern waren eher durchschnittliche Menschen. Durchschnittlich bis zum Tedium.,translate,translated,displayed-string,f9a0b7a1ec5bb2cc9913ef54b17c880cd18d4d1e456721c03d00931a37298248
cce3317a3833eaeede66b635,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,2,2,string 2,Their hearts of gold compelled them to help others even when we couldn't afford it. It honestly irked me for a time.,"Ihre Herzen aus Gold zwangen sie, anderen zu helfen, auch wenn wir es uns nicht leisten konnten.",translate,translated,displayed-string,02a439f23b8082a97c2d5039c0b1e6096854300e779e5c8596a354a2f26322b5
ffe90bb95ebd4570d0758eea,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,2,3,string2 3,k_chr003HIRU_02_0020,k_chr003HIRU_02_0020,protected,protected,resource-or-id,d9de1fe99b2e3bce4603a2e1e46ca4b9f5f8224bcb93940bc54d0094fedf8d18
d98adb293766942513dac7ef,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,2,4,string 4,Their hearts of gold compelled them to help others even when we couldn't afford it. It honestly irked me for a time.,"Ihre Herzen aus Gold zwangen sie, anderen zu helfen, auch wenn wir es uns nicht leisten konnten.",translate,translated,displayed-string,02a439f23b8082a97c2d5039c0b1e6096854300e779e5c8596a354a2f26322b5
0efcb32fc6604a7cad0f05f8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,3,2,string 2,"So I secretly went out and tasted life myself. I experienced all kinds of emotions, went to all kinds of places, did all kinds of things.","Also ging ich heimlich hinaus und probierte das Leben selbst. Ich erlebte alle Arten von Emotionen, ging an alle Arten von Orten, tat alle Arten von Dingen.",translate,translated,displayed-string,a934ee12b3c3a6b5d846d00b76daa0e34a99624a7f40160d2bca05700d90fc6e
0992f613de847cbe20fa8bea,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,3,3,string2 3,k_chr003HIRU_02_0030,k_chr003HIRU_02_0030,protected,protected,resource-or-id,7831b7969e3602fc68d0fcd3505f629eadd815765c8f7de903c6d7ee23be2bed
dc8d8149be327f933137cd98,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,3,4,string 4,"So I secretly went out and tasted life myself. I experienced all kinds of emotions, went to all kinds of places, did all kinds of things.","Also ging ich heimlich hinaus und probierte das Leben selbst. Ich erlebte alle Arten von Emotionen, ging an alle Arten von Orten, tat alle Arten von Dingen.",translate,translated,displayed-string,a934ee12b3c3a6b5d846d00b76daa0e34a99624a7f40160d2bca05700d90fc6e
e63284e61ca725a6f6b10152,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr003hiru_02.mbe/000_Sheet1.csv,4,2,string 2,Things someone like you would likely find to be too...stimulating.,"Dinge, die jemand wie Sie wahrscheinlich zu stimulierend finden würde.",translate,translated,displayed-string,7d403007d2738378a6a73abea77d5f2078aa976fcbb964675c6e59acf9e5e733
