cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
392114d638d6c9a489f9ccbe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)As usual, everyone was there waiting for me. How did they always get here so fast?}",{fc(57e4f1)Wie immer warteten alle auf mich. Wie kamen sie immer so schnell hierher?},translate,translated,displayed-string:fc-repair,b4cd5fc54b8d35f85896ad32f6df24b3e1392f4378cff64c1d2b9882f0878880
8cbf3785e7d8c9860210bea3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
08fa0974c76ad01aa74185a7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)As usual, everyone was there waiting for me. How did they always get here so fast?}",{fc(57e4f1)Wie immer warteten alle auf mich. Wie kamen sie immer so schnell hierher?},translate,translated,displayed-string:fc-repair,b4cd5fc54b8d35f85896ad32f6df24b3e1392f4378cff64c1d2b9882f0878880
79a88d32209be3b278e66f9d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I pushed aside those unimportant concerns and turned my attention to the battlefield.},{fc(57e4f1)Ich stieß diese unwichtigen Sorgen beiseite und wandte meine Aufmerksamkeit auf das Schlachtfeld.},translate,translated,displayed-string:fc-repair,d6a76f89387bb673617d268bbb1acdf4f8ab3db249c8b9744e3cac85f7c55632
a5b1f23d05a58f9a650e61c0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3df678ab0da3a7034200151c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I pushed aside those unimportant concerns and turned my attention to the battlefield.},{fc(57e4f1)Ich stieß diese unwichtigen Sorgen beiseite und wandte meine Aufmerksamkeit auf das Schlachtfeld.},translate,translated,displayed-string:fc-repair,d6a76f89387bb673617d268bbb1acdf4f8ab3db249c8b9744e3cac85f7c55632
98a49bedcbae86b1bc80a67c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,3,2,string 2,What's our status?,Wie ist unser Status?,translate,translated,displayed-string,7a59b4a0153783865c932d173f099a362d5b600a1dabdebe5685a870ce09110a
83862915dde2c8e6ffdbb01c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1340ddecfcab69618b4289dd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,3,4,string 4,What's our status?,Wie ist unser Status?,translate,translated,displayed-string,7a59b4a0153783865c932d173f099a362d5b600a1dabdebe5685a870ce09110a
d307d0e69e8d8ebb425e678a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,4,2,string 2,"It's all small fry this time... A lot of them, but no sign of any commanders.","Dieses Mal ist alles klein, viele von ihnen, aber keine Anzeichen von Kommandeuren.",translate,translated,displayed-string,c29480e039194f36d38262821d1c984653a2f9abaed1f24552e1b0d627616df0
fc13a5f8b979da62f591a670,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c4404d23afb0086bb80a6b7b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,4,4,string 4,"It's all small fry this time... A lot of them, but no sign of any commanders.","Dieses Mal ist alles klein, viele von ihnen, aber keine Anzeichen von Kommandeuren.",translate,translated,displayed-string,c29480e039194f36d38262821d1c984653a2f9abaed1f24552e1b0d627616df0
240876d3f06c69110a37692a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,5,2,string 2,That makes sense. The last commander we beat was the twelfth one. V'ehxness is the only one left now.,"Der letzte Kommandant, den wir besiegt haben, war der zwölfte.",translate,translated,displayed-string,04ddb87b1e2c21bdcd42d526f78489dcb7679288e8de1bbb50108c0a15cc3c9a
0f09f22ec69efa65d7d2617e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9b4da1653187381d7c7376c2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,5,4,string 4,That makes sense. The last commander we beat was the twelfth one. V'ehxness is the only one left now.,"Der letzte Kommandant, den wir besiegt haben, war der zwölfte.",translate,translated,displayed-string,04ddb87b1e2c21bdcd42d526f78489dcb7679288e8de1bbb50108c0a15cc3c9a
407016674433418a71f3062b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,6,2,string 2,"She won't be coming this time, though.",Diesmal kommt sie aber nicht.,translate,translated,displayed-string,c3fefc49737521481c3d4a6450422abf3d99ba62c186c8f437c1ab4a910d24be
e8c1c15cb490deacc1696011,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_a0_d063_m035_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
