cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
1e8a0f077f801c713343d795,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)My consciousness was fading in and out again. Suddenly, I was in a first floor hallway.}",{fc(57e4f1)Mein Bewusstsein verblasste immer wieder. Plötzlich war ich in einem Flur im ersten Stock.},translate,translated,displayed-string:fc-repair,ddddfdb02fd76efa646565c01a9c0f3fe3f493a5e6d97d52003c7b524e477424
55ec173ae2b4633641c3f55b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)My consciousness was fading in and out again. Suddenly, I was in a first floor hallway.}",{fc(57e4f1)Mein Bewusstsein verblasste immer wieder. Plötzlich war ich in einem Flur im ersten Stock.},translate,translated,displayed-string:fc-repair,ddddfdb02fd76efa646565c01a9c0f3fe3f493a5e6d97d52003c7b524e477424
542f610ea9ce089a462dbdce,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I didn't have to look far. Takumi II was right there in front of me.},{fc(57e4f1)Takumi II war direkt vor mir.},translate,translated,displayed-string:fc-repair,d91a385128f5742aa7430ce981c8f11a281be43a43e32fd4e8c05e70128d2728
f6bcffad01a79dd398c294f2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I didn't have to look far. Takumi II was right there in front of me.},{fc(57e4f1)Takumi II war direkt vor mir.},translate,translated,displayed-string:fc-repair,d91a385128f5742aa7430ce981c8f11a281be43a43e32fd4e8c05e70128d2728
6d031764d5a87fe714759085,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)So was Nozomi II.},{fc(57e4f1)Nozomi II. auch.},translate,translated,displayed-string:fc-repair,4b109374652cbe16a7977589d3a0decc647e3c74f40c701c6ad67fc6cfa63e28
85d1c62428b044ad6735967e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)So was Nozomi II.},{fc(57e4f1)Nozomi II. auch.},translate,translated,displayed-string:fc-repair,4b109374652cbe16a7977589d3a0decc647e3c74f40c701c6ad67fc6cfa63e28
3f82f87999e1aea8e843d260,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,4,2,string 2,...?!,...?!,protected,protected,non-linguistic,4ce7d7ea23033a5cdb07d6c46ae83ab37d2e292b05ce23112e312ff596ffaf00
27b300ce080872d397a3983c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
460024568e32475421345966,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,4,4,string 4,...?!,...?!,protected,protected,non-linguistic,4ce7d7ea23033a5cdb07d6c46ae83ab37d2e292b05ce23112e312ff596ffaf00
0764d91cab0d1ce0bfcf5fd6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,5,2,string 2,EEEEEEK!,EEEEEEEEEEK!,translate,translated,displayed-string,f60a9a22a4f8f0bcada89c9eb9ed01c85160c6ce66c88797308783245180a586
e9a4c9e980e90b81db37a052,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c0a5ccc5490775c3ebe56a6b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,5,4,string 4,EEEEEEK!,EEEEEEEEEEK!,translate,translated,displayed-string,f60a9a22a4f8f0bcada89c9eb9ed01c85160c6ce66c88797308783245180a586
08e111e0f5c1b77bbee9b49b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,6,2,string 2,"...! Nozomi, run! This way!","Nozomi, lauft hier lang!",translate,translated,displayed-string,a9c9aa15eb497a761dd6a75d9d0866741fdeb7ab7188a93cd2a3c760d9b06eaf
c48249ac6887116a86614969,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d4a12d753101fdbd50ac4b99,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,6,4,string 4,"...! Nozomi, run! This way!","Nozomi, lauft hier lang!",translate,translated,displayed-string,a9c9aa15eb497a761dd6a75d9d0866741fdeb7ab7188a93cd2a3c760d9b06eaf
60bb51a9d4ac8652f5a2f49c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,7,2,string 2,"{fc(57e4f1)The moment they spotted me, their faces contorted in terror and they began to run.}","{fc(57e4f1)In dem Moment, als sie mich entdeckten, gerieten ihre Gesichter in Schrecken und sie begannen zu fliehen.}",translate,translated,displayed-string:fc-repair,f5f41f959e918da516986e15351869d92d6a6ac8a88499563cdb2670ebb8f9d1
6e21a0183179d76375c3e2ad,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,7,4,string 4,"{fc(57e4f1)The moment they spotted me, their faces contorted in terror and they began to run.}","{fc(57e4f1)In dem Moment, als sie mich entdeckten, gerieten ihre Gesichter in Schrecken und sie begannen zu fliehen.}",translate,translated,displayed-string:fc-repair,f5f41f959e918da516986e15351869d92d6a6ac8a88499563cdb2670ebb8f9d1
ebfb547af18b00272ba3b655,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)I couldn't let them get away. I hefted my power saw and gave chase.},{fc(57e4f1)Ich konnte sie nicht entkommen lassen.},translate,translated,displayed-string:fc-repair,7ca63084734bccd8e3855ab6c7abd1f6bea744ce7491e2b1be0fd92aed942241
f089c3d9472edf3381880d66,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bb_d074_m030_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)I couldn't let them get away. I hefted my power saw and gave chase.},{fc(57e4f1)Ich konnte sie nicht entkommen lassen.},translate,translated,displayed-string:fc-repair,7ca63084734bccd8e3855ab6c7abd1f6bea744ce7491e2b1be0fd92aed942241
