cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c01e83b2726ec1304123907b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,1,2,string 2,"Hey, Takumi? Can you help me kidnap Takemaru?","He, Takumi? Kannst du mir helfen, Takemaru zu entführen?",translate,translated,displayed-string,b38b1a4dd68b330cca7610a03f9638fe77b46f6785bf190d919cc38598bcfb21
9a7b47fa671cf8ed98207f31,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ade5fbe347de1d4fcaa34a1e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,1,4,string 4,"Hey, Takumi? Can you help me kidnap Takemaru?","He, Takumi? Kannst du mir helfen, Takemaru zu entführen?",translate,translated,displayed-string,b38b1a4dd68b330cca7610a03f9638fe77b46f6785bf190d919cc38598bcfb21
fcd1c89d040269896f3519e1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,2,2,string 2,K-Kidnap?!,K-Kidnap?!,translate,translated,displayed-string,1470089ebfe0b894c1ec24c7e3fd23a66e75cbd97843086094fe768853b8a661
d012851d136e8afbb6363145,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e56a8bce18a2169bbdeeb8b1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,2,4,string 4,K-Kidnap?!,K-Kidnap?!,translate,translated,displayed-string,1470089ebfe0b894c1ec24c7e3fd23a66e75cbd97843086094fe768853b8a661
1039f04628a2b19edcf8ad88,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,3,2,string 2,Why would we do something that insane? Are you guys fighting?,Warum sollten wir etwas Verrücktes tun? Kämpft ihr Jungs?,translate,translated,displayed-string,e02318a8f30e96946447ee9e2545d8b6ca4d5e91f0de95a6a65ee10efff8241d
a1b69296af6457dc86fbfdce,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
07d356740ea47f466c724dcd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,3,4,string 4,Why would we do something that insane? Are you guys fighting?,Warum sollten wir etwas Verrücktes tun? Kämpft ihr Jungs?,translate,translated,displayed-string,e02318a8f30e96946447ee9e2545d8b6ca4d5e91f0de95a6a65ee10efff8241d
01179f09e987a10986950eeb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,4,2,string 2,"No, everything's good between us.","Nein, zwischen uns ist alles gut.",translate,translated,displayed-string,f492f0fdfedfad8856d5f9fbe01e627fb6310e2be8d47d1213acf61306da12fd
1ba54d5be199c4da7e57ffa4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9838b659f6e1be476801ba5d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,4,4,string 4,"No, everything's good between us.","Nein, zwischen uns ist alles gut.",translate,translated,displayed-string,f492f0fdfedfad8856d5f9fbe01e627fb6310e2be8d47d1213acf61306da12fd
e3ea17c5d0f112a308035dec,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,5,2,string 2,This is just about my curiosity as a mechanic...,Hier geht es nur um meine Neugier als Mechaniker...,translate,translated,displayed-string,5779a7db4b68c062cabbd2742ab96c5457b8d3b17674bc198893f8e30c433fb3
786781473cce399178e38e56,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7cb01d6e0f341cf487540cff,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,5,4,string 4,This is just about my curiosity as a mechanic...,Hier geht es nur um meine Neugier als Mechaniker...,translate,translated,displayed-string,5779a7db4b68c062cabbd2742ab96c5457b8d3b17674bc198893f8e30c433fb3
a9a312f8bf821a07f41a5ad3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,6,2,string 2,What do you mean?,Was meinen Sie damit?,translate,translated,displayed-string,c8ac7dce03b1b9b73d09f9d628650393280722336ab394f0fe830107d597c867
afb8583e77f42a0c2b474e68,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b08f726b9b7cdd5cad6d8515,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,6,4,string 4,What do you mean?,Was meinen Sie damit?,translate,translated,displayed-string,c8ac7dce03b1b9b73d09f9d628650393280722336ab394f0fe830107d597c867
2a27db988f2fe5f604d79c04,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,7,2,string 2,"His Class Weapon is a motorcycle, right? A pretty incredible one, too.","Seine Klassenwaffe ist ein Motorrad, oder? Auch ein ziemlich unglaubliches.",translate,translated,displayed-string,d969d80d6ebed6afc4558e7e0d9724a502b360b03179ff5df5d9b9887937b7c7
b9b484623936c6e46d8d4103,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fb089ec35d26d8120c452014,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,7,4,string 4,"His Class Weapon is a motorcycle, right? A pretty incredible one, too.","Seine Klassenwaffe ist ein Motorrad, oder? Auch ein ziemlich unglaubliches.",translate,translated,displayed-string,d969d80d6ebed6afc4558e7e0d9724a502b360b03179ff5df5d9b9887937b7c7
5fcaad9a67af66f26a46df8c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr006tuba_03.mbe/000_Sheet1.csv,8,2,string 2,Any mechanic would be curious after seeing a feat of engineering like that!,"Jeder Mechaniker wäre neugierig, wenn er so eine technische Meisterleistung gesehen hätte!",translate,translated,displayed-string,b07f1fe2d05db8e598935932f209636db9787c875f07b5e0b16b0744761c506b
