cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
32f6dc30e03b3bdfdb27f93a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,1,2,string 2,"""Is it over...? There wasn't any commander...""","""Ist es vorbei...? Es gab keinen Commander...""",translate,translated,displayed-string,6ef20db488f31c33d37f8aa592e6287b6107baf780dbb70ac45c773a55f78418
9fd3ba319c31a867f42ee7ea,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2dd622e3f4776e8b414d1f84,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,1,4,string 4,"""Is it over...? There wasn't any commander...""","""Ist es vorbei...? Es gab keinen Commander...""",translate,translated,displayed-string,6ef20db488f31c33d37f8aa592e6287b6107baf780dbb70ac45c773a55f78418
4c0ed54ea702c4c0fb83e159,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,2,2,string 2,"""It was all minions...""","""Es waren nur Lakaien...""",translate,translated,displayed-string,dbaa69361bb4277849dc337a973fbc369d827dd2936c777e4b3ce1a333bf45b7
a544c3d7b0c3a02f38eb7590,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2e2f71d6040f3d982a490997,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,2,4,string 4,"""It was all minions...""","""Es waren nur Lakaien...""",translate,translated,displayed-string,dbaa69361bb4277849dc337a973fbc369d827dd2936c777e4b3ce1a333bf45b7
7e95398fff34404ee74a4f9d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,3,2,string 2,"""It is a shame we could not kill a commander...""","""Es ist eine Schande, dass wir einen Kommandanten nicht töten konnten...""",translate,translated,displayed-string,0f9dd3d7785b63fe16352bfe7f2aef872b79aab1c252df81537e0cb43ef5600b
a01902417cd0cb302960d55d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
02840fed1f321c344ef5ca1d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,3,4,string 4,"""It is a shame we could not kill a commander...""","""Es ist eine Schande, dass wir einen Kommandanten nicht töten konnten...""",translate,translated,displayed-string,0f9dd3d7785b63fe16352bfe7f2aef872b79aab1c252df81537e0cb43ef5600b
5426d5d75acc66251d7fe5b4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Well, we'd managed to pull through, so now we could finally take a breather...}","{fc(57e4f1)Nun, wir hatten es geschafft, durchzukommen, also konnten wir jetzt endlich einen Atemzug machen...}",translate,translated,displayed-string:fc-repair,04c89c7d3f803435bede413f2b829385b919ed7a46c11ab33f63218bcc4a51de
702217cb1b5fb3d60cdfba45,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)Well, we'd managed to pull through, so now we could finally take a breather...}","{fc(57e4f1)Nun, wir hatten es geschafft, durchzukommen, also konnten wir jetzt endlich einen Atemzug machen...}",translate,translated,displayed-string:fc-repair,04c89c7d3f803435bede413f2b829385b919ed7a46c11ab33f63218bcc4a51de
62b9096e4e078e5314aee98f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)Or so I thought.},{fc(57e4f1)Oder so dachte ich mir.},translate,translated,displayed-string:fc-repair,4a3b1a1f45d2cc4d375d5523c9edf7fcb441862b5bf890f66308ef93729c2b45
75697a225989473f54f20417,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)Or so I thought.},{fc(57e4f1)Oder so dachte ich mir.},translate,translated,displayed-string:fc-repair,4a3b1a1f45d2cc4d375d5523c9edf7fcb441862b5bf890f66308ef93729c2b45
6d366b6722157b17de706058,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,6,2,string 2,Wait! I'm seeing some activity! There are still invaders left!,"Warte, ich sehe etwas Aktivität! Es sind noch Eindringlinge übrig!",translate,translated,displayed-string,5c69966ce0448ae2a12e868461ba6f452ae8b867b8df53f2922f144fb5c32989
3349038e0a8eb54a1b9c1698,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bcb48c34a1447b4e23acd5ae,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,6,4,string 4,Wait! I'm seeing some activity! There are still invaders left!,"Warte, ich sehe etwas Aktivität! Es sind noch Eindringlinge übrig!",translate,translated,displayed-string,5c69966ce0448ae2a12e868461ba6f452ae8b867b8df53f2922f144fb5c32989
3532c734ba649569824e1332,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,7,2,string 2,...?!,...?!,protected,protected,non-linguistic,4ce7d7ea23033a5cdb07d6c46ae83ab37d2e292b05ce23112e312ff596ffaf00
63a51c3186a785968d150ec1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8b9c3116a1716212f74fd2c7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,7,4,string 4,...?!,...?!,protected,protected,non-linguistic,4ce7d7ea23033a5cdb07d6c46ae83ab37d2e292b05ce23112e312ff596ffaf00
36c20c5eacbb8f436ae71a72,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)All of us grew tense. It seemed the fight wasn't over yet.},"{fc(57e4f1)Es schien, als wäre der Kampf noch nicht vorbei.}",translate,translated,displayed-string:fc-repair,0170e43de81b218ea57806610f31d70b6b9fb351bcc2752da9e02763db7255e8
84c8bbf9b5a60a20cc4b212f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)All of us grew tense. It seemed the fight wasn't over yet.},"{fc(57e4f1)Es schien, als wäre der Kampf noch nicht vorbei.}",translate,translated,displayed-string:fc-repair,0170e43de81b218ea57806610f31d70b6b9fb351bcc2752da9e02763db7255e8
3de543e7575484399bd61fa6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,9,2,string 2,"Takemaru, behind that shadow over there!","Takemaru, hinter dem Schatten da drüben!",translate,translated,displayed-string,ece1759b5432beda9e9267633641399655cf1d629d0604ffee5a4540507b617c
87cea4145e404077862879f9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b0f6933a2d1257358f111ebb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,9,4,string 4,"Takemaru, behind that shadow over there!","Takemaru, hinter dem Schatten da drüben!",translate,translated,displayed-string,ece1759b5432beda9e9267633641399655cf1d629d0604ffee5a4540507b617c
114e89eb9ad89981f9988a12,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,10,2,string 2,—!!,—!!,protected,protected,non-linguistic,f4e69640b714e46e1a0b2f567c743c070c793081aec586e00385a00aa7c9dc85
bcf668f9ea970b32cf3274f5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
84b644cf075220597c9efd78,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,10,4,string 4,—!!,—!!,protected,protected,non-linguistic,f4e69640b714e46e1a0b2f567c743c070c793081aec586e00385a00aa7c9dc85
6c9f8078f37e6d379ac8975d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,11,2,string 2,"{fc(57e4f1)Takemaru reacted swiftly, peering behind the shadow.}",{fc(57e4f1)Takemaru reagierte schnell und blickte hinter den Schatten.},translate,translated,displayed-string:fc-repair,f021b60052ce8034d20c24d38af7541c7a7fbad47eb43046130c403deb6ee413
c662ccfa728b85d61d5ddf05,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,11,4,string 4,"{fc(57e4f1)Takemaru reacted swiftly, peering behind the shadow.}",{fc(57e4f1)Takemaru reagierte schnell und blickte hinter den Schatten.},translate,translated,displayed-string:fc-repair,f021b60052ce8034d20c24d38af7541c7a7fbad47eb43046130c403deb6ee413
4624811e78cb0cbed3a57cf2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,12,2,string 2,{fc(57e4f1)Lurking there was...!},"{fc(57e4f1)Lurking, da war...!}",translate,translated,displayed-string:fc-repair,b704ec495b4fb30b5f9ac1ea4ada5f4f6cce8ae63a92af6b97e694aa5bce61cf
047b49522676419f48f27cd5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,12,4,string 4,{fc(57e4f1)Lurking there was...!},"{fc(57e4f1)Lurking, da war...!}",translate,translated,displayed-string:fc-repair,b704ec495b4fb30b5f9ac1ea4ada5f4f6cce8ae63a92af6b97e694aa5bce61cf
5df6a3d08b2070030b8d3c3d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,13,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
518c7118fc91858fae97eba8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,13,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
849f5533b4ef79925e79d6f1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,13,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
4c3ee214a12698c9922ba4be,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,14,2,string 2,{fc(cfff3f)*THUNK!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!}",translate,translated,displayed-string:fc-repair,9a42821924e05449af44592a436f174dfff1c06c2293059cd7e0285839c0d04d
dac0b3c56dbda9f0aeda703e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,14,4,string 4,{fc(cfff3f)*THUNK!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!}",translate,translated,displayed-string:fc-repair,9a42821924e05449af44592a436f174dfff1c06c2293059cd7e0285839c0d04d
8943915bf4c55b1ce2306419,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,15,2,string 2,"{fc(57e4f1)Oh, he just laid it out flat. I was just starting to think about what a disappointment it was, when...}","{fc(57e4f1)Ich dachte gerade darüber nach, was für eine Enttäuschung es war, als...}",translate,translated,displayed-string:fc-repair,09d243addf6c5bd2fdb55f443e35acec0e2132b8b5826ec9376c5cfb09e328d8
e568870be5d88ac0af9f2a87,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_b0_d063_m120_010.mbe/000_Sheet1.csv,15,4,string 4,"{fc(57e4f1)Oh, he just laid it out flat. I was just starting to think about what a disappointment it was, when...}","{fc(57e4f1)Ich dachte gerade darüber nach, was für eine Enttäuschung es war, als...}",translate,translated,displayed-string:fc-repair,09d243addf6c5bd2fdb55f443e35acec0e2132b8b5826ec9376c5cfb09e328d8
