cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3b25f8102854eaa4a176057f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,1,2,string 2,"Hey, Eva, why are you wearing a swimsuit?","Eva, warum trägst du einen Badeanzug?",translate,translated,displayed-string,0d9fab9fa9f7c681ee200f2412b5766ff7f889ab4ac6d5b0275af2ef4a5e94ae
5112c88bf6aa296627f59a5b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5c2da11262e5712fbf0360af,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,1,4,string 4,"Hey, Eva, why are you wearing a swimsuit?","Eva, warum trägst du einen Badeanzug?",translate,translated,displayed-string,0d9fab9fa9f7c681ee200f2412b5766ff7f889ab4ac6d5b0275af2ef4a5e94ae
7c503de2ea23dbfab20f8d55,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,2,2,string 2,"I was ordered to clean the poolside, so I was mopping in my swimsuit.","Mir wurde befohlen, den Pool zu säubern, also wippte ich in meinen Badeanzug.",translate,translated,displayed-string,ae7cba18db45bdf348b75aab28e27c59da5f4b237f52a067812c5a977b0bb67d
325ee02c93a99e5ea6df016a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
646fabc70642182d84e4e844,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,2,4,string 4,"I was ordered to clean the poolside, so I was mopping in my swimsuit.","Mir wurde befohlen, den Pool zu säubern, also wippte ich in meinen Badeanzug.",translate,translated,displayed-string,ae7cba18db45bdf348b75aab28e27c59da5f4b237f52a067812c5a977b0bb67d
c0228c87ba24ec463747f692,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,3,2,string 2,"O-Oh, uh, thanks for doing that.","Oh, danke, dass du das gemacht hast.",translate,translated,displayed-string,8e7201dcf91a0a66d1629685a37d773f7479ffb2d9b8895a48826ce25efa5170
d97bec0bab2de647b6bc9406,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3479b1652c644c0111dcba64,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,3,4,string 4,"O-Oh, uh, thanks for doing that.","Oh, danke, dass du das gemacht hast.",translate,translated,displayed-string,8e7201dcf91a0a66d1629685a37d773f7479ffb2d9b8895a48826ce25efa5170
897afec77ea4cf66c1cc5fa3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,4,2,string 2,What should I do next? I am never sure what to do when I am without orders.,"Ich bin mir nie sicher, was ich tun soll, wenn ich keine Befehle habe.",translate,translated,displayed-string,e4df46d2a5fe651e9ce6e1da49c393b1e93816bae07804c46e58524ff4edf6f5
8280c27483e037bc4b39e90c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3837010aab155a9e8a256f9b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr016iva_05.mbe/000_Sheet1.csv,4,4,string 4,What should I do next? I am never sure what to do when I am without orders.,"Ich bin mir nie sicher, was ich tun soll, wenn ich keine Befehle habe.",translate,translated,displayed-string,e4df46d2a5fe651e9ce6e1da49c393b1e93816bae07804c46e58524ff4edf6f5
