cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
e57b08ce027db8995dfe2fa9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,1,1,string 1,＝◆★〇％÷■,＝◆★〇％÷■,protected,protected,non-linguistic,70b672c599b36e3e4dff3432da6e12906b6fda859dfb024d0f5ef23cbc507660
a2f3aeeb8e2b65b0029550e6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,2,1,string 1,▲→＝↓☆▽★,▲→＝↓☆▽★,protected,protected,non-linguistic,307e851103dee4642b81a65834b87a5e86bf76ab11fedddeecb6c97ebba1a64b
798009097cc9b449fac34da3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,3,1,string 1,～＃→＝●▲＊,～＃→＝●▲＊,protected,protected,non-linguistic,55022177956b91d5373e9c1accf0fdf4e4ce6c214d17400127d530cd758c7ae0
875811a3a109078f6b2eb5fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,4,1,string 1,〇◆↑＊▲＃＝,〇◆↑＊▲＃＝,protected,protected,non-linguistic,da88859e9493cc565fa01a6a7542bd59b9baa8612b7cd31a73906b2a7c1efbe4
ba1a73e5384d9a860be4bc5c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,5,1,string 1,＊～★□▽※●,＊～★□▽※●,protected,protected,non-linguistic,04d2a428f8016562dd0e017ba25a288db45f643cb7e0e9fc0e28e61d868de229
d82abcddc4f3e1932558e5c3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,6,1,string 1,↓●☆▲÷～□,↓●☆▲÷～□,protected,protected,non-linguistic,4ea5ee95778cfda3ae33f51934227c04285d16a7d621ce7868f33fba58657066
624376689bb8a28ee03f2387,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,7,1,string 1,＊※～＃▽■→,＊※～＃▽■→,protected,protected,non-linguistic,7d4ee698401d81f4b8b49b69a0c920cce0d98e29c72db388896853ffeb6197c6
9382efffb21c01fe5852ec82,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,8,1,string 1,↑％▽＝◇＊★,↑％▽＝◇＊★,protected,protected,non-linguistic,f654a9633d332776829afbbc112e8e1bd4c85c6fee6b01b83289b92307dacbd4
bea03835cc42823dd60bac8f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,9,1,string 1,▽※☆■↓◆～,▽※☆■↓◆～,protected,protected,non-linguistic,c93d38bc5c933e107acc33faaf0342f8717855346b2206924960beaf4c018924
dca0fb762df07f4a9be5b5ed,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,10,1,string 1,＝～★〇●÷×,＝～★〇●÷×,protected,protected,non-linguistic,586e057621c54ee4e02cad7f6827dba5babaaa9247ff760ca1fe143dca0e8ac7
ed8413d180efa8b8a0f6b4ff,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,11,1,string 1,☆＃□～◇×÷,☆＃□～◇×÷,protected,protected,non-linguistic,16ca86a9f8d99563db416523f9fe97c62ddf4658e87e94d0e7e3677e225e5eb8
a4334f8cc551207a9a072618,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/battle_trap_explanation_bug.mbe/000_battle_trap_explanation.csv,12,1,string 1,◆☆＊★◇↓～,◆☆＊★◇↓～,protected,protected,non-linguistic,245f91dbe9a62e88f6571e56684ac4c307101ffef501e5ef79b2e2faed2579a7
