cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9c778ae791150f4ba7fb4f39,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)It was already late when I got to the Cafeteria, so there were only a few people...}","{fc(57e4f1)Es war schon spät, als ich in die Cafeteria kam, also gab es nur wenige Leute...}",translate,translated,displayed-string:fc-repair,028f58452d1600f3f3e00f3f8e1bfca9b3465c91f859c93c1b0ce07392f11848
2b7ec4aaf61873c49213137c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)It was already late when I got to the Cafeteria, so there were only a few people...}","{fc(57e4f1)Es war schon spät, als ich in die Cafeteria kam, also gab es nur wenige Leute...}",translate,translated,displayed-string:fc-repair,028f58452d1600f3f3e00f3f8e1bfca9b3465c91f859c93c1b0ce07392f11848
6ade3cf05716266c7e6fc290,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"Hey, Takumi. How are you feeling?","Hey, Takumi, wie fühlst du dich?",translate,translated,displayed-string,db94e736d686b8fa4ad3a2de5ecf3f1c80473962a960e32a3d971de3c19332a6
c848e170e09875e278baa648,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
36a165ddbd515f8f4b5c711d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"Hey, Takumi. How are you feeling?","Hey, Takumi, wie fühlst du dich?",translate,translated,displayed-string,db94e736d686b8fa4ad3a2de5ecf3f1c80473962a960e32a3d971de3c19332a6
d3f0f54895fb6454b8f823d1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"You got me all kinds of messed up, Yugamu.","Du hast mich irgendwie verkorkst, Yugamu.",translate,translated,displayed-string,cb438f0e543745409a17d4ff9a9a20f977757503570cc6050d64f686cbb12eb6
5723cad819c2b27c9945dfec,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
39fb3292b77913d47510849b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"You got me all kinds of messed up, Yugamu.","Du hast mich irgendwie verkorkst, Yugamu.",translate,translated,displayed-string,cb438f0e543745409a17d4ff9a9a20f977757503570cc6050d64f686cbb12eb6
1dc4e0b09422e49f2102f59c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"Messed up? Did you sample my creation, by any chance?",Haben Sie zufällig meine Kreation probiert?,translate,translated,displayed-string,adc57e59c9731a85077c8b160a1ae6828c2323efe7aba8f9fa5c5906d7dd9953
007f51906f494e7bcd97f2f5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s10_a_yakusitk_00_d021_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
