cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
292d2ed769d31a1fe455e77d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,1,2,string 2,There. Finally got them.,"Da, endlich hab ich sie.",translate,translated,displayed-string,16da416450867602eca9c7acc8beea403a259d0fec787ffa4bffaec3b0952eac
5bcbd2dd772a0ce51c5d6f99,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ebf17959624f464f3254dde4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,1,4,string 4,There. Finally got them.,"Da, endlich hab ich sie.",translate,translated,displayed-string,16da416450867602eca9c7acc8beea403a259d0fec787ffa4bffaec3b0952eac
1edec144b4ace32bad34eb41,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,2,2,string 2,"If anyone walked in right now and saw what I'm doing, I'd have a lot of explaining to do...","Wenn jemand jetzt reinkäme und sehen würde, was ich tue, hätte ich eine Menge zu erklären...",translate,translated,displayed-string,d7750e951e7e335fcf2fb04c734641247e18338c5a957bac0fa0f716a2cdde8b
07d896b629d278ba9efa6e1c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b99e8eb98c79547c9fef5ee4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,2,4,string 4,"If anyone walked in right now and saw what I'm doing, I'd have a lot of explaining to do...","Wenn jemand jetzt reinkäme und sehen würde, was ich tue, hätte ich eine Menge zu erklären...",translate,translated,displayed-string,d7750e951e7e335fcf2fb04c734641247e18338c5a957bac0fa0f716a2cdde8b
4d7e306b27d799d9a97ec936,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I grabbed the panties that had come out of the Gift-O-Matic and slipped them into my pocket.},"{fc(57e4f1)Ich packte die Höschen, die aus der Gift-O-Matic gekommen waren, und rutschte sie in meine Tasche.}",translate,translated,displayed-string:fc-repair,75ef4f109fc1014dec7bf2b8996bdf5aaf9ea2bce09513f8b82ea86c63d77ecf
884dee5701352f9c4c1cd849,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I grabbed the panties that had come out of the Gift-O-Matic and slipped them into my pocket.},"{fc(57e4f1)Ich packte die Höschen, die aus der Gift-O-Matic gekommen waren, und rutschte sie in meine Tasche.}",translate,translated,displayed-string:fc-repair,75ef4f109fc1014dec7bf2b8996bdf5aaf9ea2bce09513f8b82ea86c63d77ecf
f9fbc7a2e4c1349bf10c196b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,4,2,string 2,"Now I just have to ""deliver"" these and this whole ordeal will be over.","Jetzt muss ich das einfach ""liefern"" und diese ganze Tortur wird vorbei sein.",translate,translated,displayed-string,822d0c2360a5eba0de7f77f089815c42759443f43a5d6fdd8ccffbe0a9f6a031
a2af838efccec1b176d40405,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a677cc475fe6ec5b59071a8b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,4,4,string 4,"Now I just have to ""deliver"" these and this whole ordeal will be over.","Jetzt muss ich das einfach ""liefern"" und diese ganze Tortur wird vorbei sein.",translate,translated,displayed-string,822d0c2360a5eba0de7f77f089815c42759443f43a5d6fdd8ccffbe0a9f6a031
ebc770eaa44a19e745a94db9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,5,2,string 2,"To do that, I just have to go to the classroom on the second floor.","Um das zu tun, muss ich einfach ins Klassenzimmer im zweiten Stock.",translate,translated,displayed-string,be6a6036432dfe313ef4cc70305d7cebf1a689c15c993ddb21b04ea6c2e02db1
973e88104d8680430417214f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
dae0c7a64e12b06103fb5c92,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_a0_d050_m080_020.mbe/000_Sheet1.csv,5,4,string 4,"To do that, I just have to go to the classroom on the second floor.","Um das zu tun, muss ich einfach ins Klassenzimmer im zweiten Stock.",translate,translated,displayed-string,be6a6036432dfe313ef4cc70305d7cebf1a689c15c993ddb21b04ea6c2e02db1
