cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3deeba2b5d263bf071002daf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)We stood and stared dazedly at Shouma's body as it was consumed by V'ehxness's Undying Flames.},"{fc(57e4f1)Wir standen und starrten betäubt auf Shoumas Körper, da er von V'ehxness's Unsterblichen Flammen verzehrt wurde.}",translate,translated,displayed-string:fc-repair,a9d0728fda357e8b3f4d14394b05dff1da47c51b31349cca1d92b043d2a9adc3
458468fb284ef1cc22547ca5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)We stood and stared dazedly at Shouma's body as it was consumed by V'ehxness's Undying Flames.},"{fc(57e4f1)Wir standen und starrten betäubt auf Shoumas Körper, da er von V'ehxness's Unsterblichen Flammen verzehrt wurde.}",translate,translated,displayed-string:fc-repair,a9d0728fda357e8b3f4d14394b05dff1da47c51b31349cca1d92b043d2a9adc3
5418909c1f5b769a680cff1f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)There's nothing we can do for him now...},{fc(57e4f1)Wir können nichts mehr für ihn tun.},translate,translated,displayed-string:fc-repair,c1f7b34a8272a0f86565dab581bbd7789c6243a500d5e7c1e61e61ea464638d3
78b16479219c6dca2f888d1b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)There's nothing we can do for him now...},{fc(57e4f1)Wir können nichts mehr für ihn tun.},translate,translated,displayed-string:fc-repair,c1f7b34a8272a0f86565dab581bbd7789c6243a500d5e7c1e61e61ea464638d3
ac1d06a25550085185da6e81,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,3,2,string 2,Takumi... Was I...useful...?,"Takumi, war ich... nützlich...?",translate,translated,displayed-string,cabdb0b0c765ff8bb615fb375aa754d644a7763f4cff592c60707c45bb22106f
abc2dc3695c1b0b5a6cf42e7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b2a338a8e6f27a504aaaf84e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,3,4,string 4,Takumi... Was I...useful...?,"Takumi, war ich... nützlich...?",translate,translated,displayed-string,cabdb0b0c765ff8bb615fb375aa754d644a7763f4cff592c60707c45bb22106f
8d601831155278e361ae0f22,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,4,2,string 2,"Shouma, don't talk!","Shouma, rede nicht!",translate,translated,displayed-string,6e6dff52bab863fd6587188939c05e317d15478592f401edbe892779b7b038ce
bdbeb4c592543bed0d967e1f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a2ad16a919c7cad5fc07d632,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,4,4,string 4,"Shouma, don't talk!","Shouma, rede nicht!",translate,translated,displayed-string,6e6dff52bab863fd6587188939c05e317d15478592f401edbe892779b7b038ce
5bf2bbdb09310765158e8e65,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,5,2,string 2,You said I could walk away. I was happy that you acknowledged a piece of garbage like me.,"Ich war froh, dass du ein Stück Müll wie mich erkannt hast.",translate,translated,displayed-string,c4d0ef10eb6d259658cca476d3f5c42632f289a3c86d5b295d41663c69da6e47
e8493b2d88d7f4ce21e9ed9d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
be19f5cf63f72c239cce6d7d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,5,4,string 4,You said I could walk away. I was happy that you acknowledged a piece of garbage like me.,"Ich war froh, dass du ein Stück Müll wie mich erkannt hast.",translate,translated,displayed-string,c4d0ef10eb6d259658cca476d3f5c42632f289a3c86d5b295d41663c69da6e47
6ff89e3667767490ec1b6fa3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,6,2,string 2,That's why I was able to find the courage... And do what I really wanted to do in the end...,"Deshalb konnte ich den Mut finden und tun, was ich am Ende wirklich tun wollte.",translate,translated,displayed-string,f11974c574cb409ea700f8ac00b599122bd6062867e8e585658993a8c51f0ff6
07ae50d88f984c683893793f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e57452bf56529d24936a757f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,6,4,string 4,That's why I was able to find the courage... And do what I really wanted to do in the end...,"Deshalb konnte ich den Mut finden und tun, was ich am Ende wirklich tun wollte.",translate,translated,displayed-string,f11974c574cb409ea700f8ac00b599122bd6062867e8e585658993a8c51f0ff6
003d0ec72817760b403fd99b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,7,2,string 2,Just hold on! I-I'll save you using the Boxes of Blessings!,Ich rette dich mit den Boxen der Segnungen!,translate,translated,displayed-string,04f424878dd632d02cab3ff868b29d4766753a40690301e912b178c73a711174
f65e5d294401cdc6466d275c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
dec216c16a24aa7ea92e1a74,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,7,4,string 4,Just hold on! I-I'll save you using the Boxes of Blessings!,Ich rette dich mit den Boxen der Segnungen!,translate,translated,displayed-string,04f424878dd632d02cab3ff868b29d4766753a40690301e912b178c73a711174
56c87df10afbb91e0e876424,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,8,2,string 2,"If you care about me, then don't...","Wenn du dich um mich kümmerst, dann...",translate,translated,displayed-string,9019b5a4b77ce81f0c6f1843599f337ec970e1d78db4167e16f3e175a090de27
fa808fd64e804a578a617050,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,8,3,string2 3,s09_A_BoukenRt_Bab_d099_m230_010_0080,s09_A_BoukenRt_Bab_d099_m230_010_0080,protected,protected,resource-or-id,28023675776ceaf897f790aca7e5d7fedbee590085136966a5103bedfac1286d
aaacf56a66dfb3b9be7a3c7b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,8,4,string 4,"If you care about me, then don't...","Wenn du dich um mich kümmerst, dann...",translate,translated,displayed-string,9019b5a4b77ce81f0c6f1843599f337ec970e1d78db4167e16f3e175a090de27
c0b6e2c018380a1194de433f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_a_boukenrt_bab_d099_m230_010.mbe/000_Sheet1.csv,9,2,string 2,My wish is for Earth and Futurum to come to a mutual understanding... Please...use the boxes' power...for that.,"Mein Wunsch ist es, dass Erde und Futurum zu einem gegenseitigen Verständnis kommen... Bitte ...verwenden Sie die Macht der Boxen... dafür.",translate,translated,displayed-string,b9e19bc8b55e67ba15e103150c2ad1abecdbae6b79344f3a3debaf79c95f1740
