cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3b26e16bb30aeb513e132c94,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 72,Tag 72,translate,translated,displayed-string,64e07ffbe384734af1cab6d754d8fd39e03706f803cd37548a66bccc3c274f65
d915cf53eea33b4633d9d587,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d669f5956e16d2ad85e259a9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 72,Tag 72,translate,translated,displayed-string,64e07ffbe384734af1cab6d754d8fd39e03706f803cd37548a66bccc3c274f65
0bfd56f0872665f2aeaa34c7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
c6d9fd02c93ac522b97aa8b1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s14_A_Splatter_B0_d072_m010_010_0030,s14_A_Splatter_B0_d072_m010_010_0030,protected,protected,resource-or-id,a8797f46cead0bede6f3345866b566cc663408199c3038b60f2296655ae5116c
63efb74d6adcebd913806508,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
0064617f34b6bd7acae77c36,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 72nd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 72. Tag aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,ed982a8213eff3cb518e57722868afba92f9e71235b5e12b3b59e4fee0b4d1e7
b240f9efffeae9d29c74156a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_A_Splatter_B0_d072_m010_010_0040,s14_A_Splatter_B0_d072_m010_010_0040,protected,protected,resource-or-id,4ab9ee665f85e7ff37a360f5c5a6e90862fafd2c5a01711a609dde2452494525
5a53221ece1f289c39a8e745,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 72nd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 72. Tag aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,ed982a8213eff3cb518e57722868afba92f9e71235b5e12b3b59e4fee0b4d1e7
fb8a647a97ac66af2f403310,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_b0_d072_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
