cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
b87d25771d2de2ed6361d0c0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,1,2,string 2,"Nigou, any more invaders?","Nigou, noch mehr Eindringlinge?",translate,translated,displayed-string,dafb8279eb46114f735f394e894ac8017ea746828e384de4709ad08ab836aa39
58f2572b30b270416385f7c5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,1,3,string2 3,s10_A_YakusiTk_00_d048_m120_010_0010,s10_A_YakusiTk_00_d048_m120_010_0010,protected,protected,resource-or-id,c69a55b3217a1af2552d03c7d06d0cbc0db4e730f611b0323b7be4a57ddbe305
24996655839961aed4583ca2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,1,4,string 4,"Nigou, any more invaders?","Nigou, noch mehr Eindringlinge?",translate,translated,displayed-string,dafb8279eb46114f735f394e894ac8017ea746828e384de4709ad08ab836aa39
2aab77d3885d3f3f45790656,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,2,2,string 2,"...No, doesn't seem like it. That was the last of them.",Das war der letzte von ihnen.,translate,translated,displayed-string,c08eb5c7765829f7cb587fdf3ab3cac55540adedc9e45acca821a514774b9b42
d171cd50045720d7b0a45eac,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,2,3,string2 3,s10_A_YakusiTk_00_d048_m120_010_0020,s10_A_YakusiTk_00_d048_m120_010_0020,protected,protected,resource-or-id,10bcd63605316f08aa8ef6981ed3f5a9da0b5754e4afe2a171f6658474021eff
40f7dec033806219c708809c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,2,4,string 4,"...No, doesn't seem like it. That was the last of them.",Das war der letzte von ihnen.,translate,translated,displayed-string,c08eb5c7765829f7cb587fdf3ab3cac55540adedc9e45acca821a514774b9b42
0b29e3a9ab29b57454db7ac1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,3,2,string 2,Okay then.,"Okay, dann.",translate,translated,displayed-string,33c36706cffd5b6126944bb300faa57d5f95779a1351f8d71b093f2cf0c5fd28
d0a672153db977d947577800,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,3,3,string2 3,s10_A_YakusiTk_00_d048_m120_010_0030,s10_A_YakusiTk_00_d048_m120_010_0030,protected,protected,resource-or-id,05c7e0e63ab56d3d4ad6785196fa6db25599c3571dd90ba969bc71b265ba099b
a0186fd26ec715885252f8fd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,3,4,string 4,Okay then.,"Okay, dann.",translate,translated,displayed-string,33c36706cffd5b6126944bb300faa57d5f95779a1351f8d71b093f2cf0c5fd28
e704fda04a1e231455348bf8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,4,2,string 2,"Good work, everyone. Let's head back to the school.","Gut gemacht, gehen wir zurück in die Schule.",translate,translated,displayed-string,4612c5430ae83c9bc56bfcf08b7ee56ff6d6ad50280f7ff7380060de5f60ee47
5e0c910111e6e3a08f79f165,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,4,3,string2 3,s10_A_YakusiTk_00_d048_m120_010_0040,s10_A_YakusiTk_00_d048_m120_010_0040,protected,protected,resource-or-id,f43e53138b3119841f0d0bdd76e2b4eff9f925f138f9dcbc74f057915439e7bc
8d52e7de4537df578228f960,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_00_d048_m120_010.mbe/000_Sheet1.csv,4,4,string 4,"Good work, everyone. Let's head back to the school.","Gut gemacht, gehen wir zurück in die Schule.",translate,translated,displayed-string,4612c5430ae83c9bc56bfcf08b7ee56ff6d6ad50280f7ff7380060de5f60ee47
