cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
718fa16f2d553bf301ca8619,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I wanted to believe we could talk things out.},"{fc(57e4f1)Ich wollte glauben, dass wir reden können.}",translate,translated,displayed-string:fc-repair,72c7054625842b998d10932d1c4565f8e376224bb082e1af4d7a6248de485563
c69c1e1309202ab28e3096b5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I wanted to believe we could talk things out.},"{fc(57e4f1)Ich wollte glauben, dass wir reden können.}",translate,translated,displayed-string:fc-repair,72c7054625842b998d10932d1c4565f8e376224bb082e1af4d7a6248de485563
0d368a3523e1d37eb01d54d3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)But she'll never hear what I have to say. That's part of her strength.},"{fc(57e4f1)Aber sie wird nie hören, was ich zu sagen habe.}",translate,translated,displayed-string:fc-repair,e2bdbfe1d205111d1727d188e05c823fdde054988bc0d477f40659da5aacbde1
9e3c7ac80c7a3ae852d06ad8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)But she'll never hear what I have to say. That's part of her strength.},"{fc(57e4f1)Aber sie wird nie hören, was ich zu sagen habe.}",translate,translated,displayed-string:fc-repair,e2bdbfe1d205111d1727d188e05c823fdde054988bc0d477f40659da5aacbde1
1bcfe394cc435d8ecda1d9cc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)Which leaves me with no choice.},{fc(57e4f1)Was mir keine Wahl lässt.},translate,translated,displayed-string:fc-repair,b6c7678f6a238d8cf02307c1d993d11df1ce18e1bc8369810fa761aa0102dde3
88c840a87e691c0acfefe186,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)Which leaves me with no choice.},{fc(57e4f1)Was mir keine Wahl lässt.},translate,translated,displayed-string:fc-repair,b6c7678f6a238d8cf02307c1d993d11df1ce18e1bc8369810fa761aa0102dde3
008f4ae3655e8c81c2f5ff23,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,4,2,string 2,V'ehxness...!,V'ehxness...!,translate,translated,displayed-string,18589117472ad5091aee56c6c7646294bd844087954746f9f1620271f72b1d0d
36d2ddcd84485bb21ac085d1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e22ee97147e2db1ee57b81bc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,4,4,string 4,V'ehxness...!,V'ehxness...!,translate,translated,displayed-string,18589117472ad5091aee56c6c7646294bd844087954746f9f1620271f72b1d0d
6cc8f74d03f1e973a65def09,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_a0_d028_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Hm...?,Hm...?,translate,translated,displayed-string,5849bcf051c4e87f595b19ae7dbe5b729f0562a1b8c2ed9da752ef117ce5055d
