cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
06103df9fbb48fce0a261023,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,1,2,string 2,"Damn, this guy's stubborn!","Verdammt, dieser Kerl ist stur!",translate,translated,displayed-string,e35169d3efd9a46e3713b3605719c695c9470349e6c44f45ecbbc6d836544d49
c65505937f1d52ee1b88e862,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,1,3,string2 3,s12_0_FantasyR_00_d040_m160_010_0010,s12_0_FantasyR_00_d040_m160_010_0010,protected,protected,resource-or-id,4834b32eabbda02360682c719f92f82513c5dfde67b8ee5bbb6f938df1d7dce4
c18ff29cbb0646274973f846,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,1,4,string 4,"Damn, this guy's stubborn!","Verdammt, dieser Kerl ist stur!",translate,translated,displayed-string,e35169d3efd9a46e3713b3605719c695c9470349e6c44f45ecbbc6d836544d49
6f03eb793b50d67b2a117468,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,2,2,string 2,We used the right strat and everything! Just go down already!,Wir haben die richtige Schicht und alles! Gehen Sie einfach schon runter!,translate,translated,displayed-string,6f359184fefb391b8daaef58607b8f992d1b114f94171dc351993dc4a12e749f
e62ba415534b1ebc89042607,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,2,3,string2 3,s12_0_FantasyR_00_d040_m160_010_0020,s12_0_FantasyR_00_d040_m160_010_0020,protected,protected,resource-or-id,b8970d264c2f758724643034af18cb9ab738280a862553b826f2e1d4f5da825a
ccedab435b1e3263b3947a0d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,2,4,string 4,We used the right strat and everything! Just go down already!,Wir haben die richtige Schicht und alles! Gehen Sie einfach schon runter!,translate,translated,displayed-string,6f359184fefb391b8daaef58607b8f992d1b114f94171dc351993dc4a12e749f
161543550601ebedbad6b21d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,3,2,string 2,"I'm sorry, everyone... I couldn't finish the job.","Tut mir leid, ich konnte den Job nicht beenden.",translate,translated,displayed-string,5093525caa8b94335ba0ec4ce383b363f965e7380927bf1ceaa2eb02935f0a8a
31f11cf2702475cf7301fd25,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,3,3,string2 3,s12_0_FantasyR_00_d040_m160_010_0030,s12_0_FantasyR_00_d040_m160_010_0030,protected,protected,resource-or-id,2845a924564f83a11d821cc43e32f574a8697f66774e7b2b2bf77e6a429085bd
838c0ba69223d36e6af9cb50,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,3,4,string 4,"I'm sorry, everyone... I couldn't finish the job.","Tut mir leid, ich konnte den Job nicht beenden.",translate,translated,displayed-string,5093525caa8b94335ba0ec4ce383b363f965e7380927bf1ceaa2eb02935f0a8a
f685e160a08f35703ae4a509,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_00_d040_m160_010.mbe/000_Sheet1.csv,4,2,string 2,"It's all right. Now he can't fly anymore, this could be our chance.","Jetzt kann er nicht mehr fliegen, das könnte unsere Chance sein.",translate,translated,displayed-string,06a07f4c700d12e3130d1cae2cc5950b63360974846a1570838adfc32ac267aa
