cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
bee497a68f24fc671da67199,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Yeah... You're absolutely right.,"Ja, du hast vollkommen recht.",translate,translated,displayed-string,b633037926a35e80e602f14fa93131042ab58895c0ed5d4e22e34816c16d421e
dc92695a65983798b84c688c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0010,s13_A_SFsfSFsf_Aabb_d100_m010_010_0010,protected,protected,resource-or-id,32322f5c8b185eccc19c8cd5c46d63b18444bebf87ed91157837eb11f6f03b7c
7cfb0d397149e9b38fc14b6a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Yeah... You're absolutely right.,"Ja, du hast vollkommen recht.",translate,translated,displayed-string,b633037926a35e80e602f14fa93131042ab58895c0ed5d4e22e34816c16d421e
0172d822eadb0f471be1da76,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"We could save ourselves, but what's the point of a future where all of the other life here has to die?","Wir könnten uns selbst retten, aber was ist der Sinn einer Zukunft, in der das ganze andere Leben hier sterben muss?",translate,translated,displayed-string,1443983d059c7686f276cc46c54063fd49599650b402b52dde5f04cbf36544c8
7b058a02d4c4bd0fb92f1285,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0020,s13_A_SFsfSFsf_Aabb_d100_m010_010_0020,protected,protected,resource-or-id,416b02bf4ba73960cbebd517c355c715cbe1dff5fc441d5363dec56f5e6ebca3
03adb7e6d3d2daf5b3fb7987,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"We could save ourselves, but what's the point of a future where all of the other life here has to die?","Wir könnten uns selbst retten, aber was ist der Sinn einer Zukunft, in der das ganze andere Leben hier sterben muss?",translate,translated,displayed-string,1443983d059c7686f276cc46c54063fd49599650b402b52dde5f04cbf36544c8
5630e6290fdb5d329da318c4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"Even if I'm the only one, I don't want to sacrifice all those lives for ours...!","Selbst wenn ich der Einzige bin, will ich nicht all dieses Leben für unser opfern...!",translate,translated,displayed-string,54efe6eaddb5605815a90162cc5ca7e7348d74050b401269d9a7396d3c294329
3c142c0f7bca2f77715a6811,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0030,s13_A_SFsfSFsf_Aabb_d100_m010_010_0030,protected,protected,resource-or-id,0c41b1e484a52c43e26d09694488bfe986639c748622f95227efb2b0ec65e24e
dd9d20c2075166e73d6ca9c4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"Even if I'm the only one, I don't want to sacrifice all those lives for ours...!","Selbst wenn ich der Einzige bin, will ich nicht all dieses Leben für unser opfern...!",translate,translated,displayed-string,54efe6eaddb5605815a90162cc5ca7e7348d74050b401269d9a7396d3c294329
ce1d0a27d7ed3e0baad0406a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,4,2,string 2,So...,Also... Was ist los?,translate,translated,displayed-string,285d51177cb2618fe768121d47440311b748aafe48e02cebb310bc92a44e16fe
752a4a69cdbba46382db4690,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0040,s13_A_SFsfSFsf_Aabb_d100_m010_010_0040,protected,protected,resource-or-id,b340fa79729d8bf3b9edbdc9bee13258c596196f04e8ae5cd6144767acb495d4
760f8bf085bbc15fc2c0d445,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,4,4,string 4,So...,Also... Was ist los?,translate,translated,displayed-string,285d51177cb2618fe768121d47440311b748aafe48e02cebb310bc92a44e16fe
ad79292a23d224b46c5d8d72,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"I'm going with you, Hiruko.","Ich komme mit, Hiruko.",translate,translated,displayed-string,b74dbfcc7448c7afd61a8ae2c48c207589f60c1db531a05bdc4037d89dabd626
fd67570b4d308322e5d4fa44,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0050,s13_A_SFsfSFsf_Aabb_d100_m010_010_0050,protected,protected,resource-or-id,8be067c8e7736a33da467d665025024246fc1e28874e564146698978dd2a5869
bdaed79e3248428537179b01,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,5,4,string 4,"I'm going with you, Hiruko.","Ich komme mit, Hiruko.",translate,translated,displayed-string,b74dbfcc7448c7afd61a8ae2c48c207589f60c1db531a05bdc4037d89dabd626
71d6f1f093f940c942bdbd09,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)Hiruko let out an exasperated sigh.},{fc(57e4f1)Hiruko ließ einen verzweifelten Seufzer aus.},translate,translated,displayed-string:fc-repair,556c9e718c3e427907a5b98fe3c190eddb9b1a5ac063cd59c88fc7a2021bd710
43a5b34551c4e5fa124f99c9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)Hiruko let out an exasperated sigh.},{fc(57e4f1)Hiruko ließ einen verzweifelten Seufzer aus.},translate,translated,displayed-string:fc-repair,556c9e718c3e427907a5b98fe3c190eddb9b1a5ac063cd59c88fc7a2021bd710
92d3c3a65a23b83362adc138,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,7,2,string 2,"You really are stupid beyond all salvation. Let me guess, you're not going to take no for an answer?","Lass mich raten, du wirst kein Nein als Antwort nehmen?",translate,translated,displayed-string,d972bd9b777056e29f70961abde23212128bd8aa549ce6280d673ed838ef82b2
014143b19e2688749e65074a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0070,s13_A_SFsfSFsf_Aabb_d100_m010_010_0070,protected,protected,resource-or-id,344d199ffa2cbdf3b0bea60659044ff328fadfce496b286b4ebb76d737bc0595
12c49a0db86164003206386d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,7,4,string 4,"You really are stupid beyond all salvation. Let me guess, you're not going to take no for an answer?","Lass mich raten, du wirst kein Nein als Antwort nehmen?",translate,translated,displayed-string,d972bd9b777056e29f70961abde23212128bd8aa549ce6280d673ed838ef82b2
d232f6846bbf21266ffb2cb7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,8,2,string 2,You know it.,Das weißt du.,translate,translated,displayed-string,f641131224e06528e13c9999c24ab439e619dbde579e224273fff1f4213949e5
92e2b9d3caef2eede9b449b9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,8,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0080,s13_A_SFsfSFsf_Aabb_d100_m010_010_0080,protected,protected,resource-or-id,75f099ad0bf1254c8d1284490da6d2be67db3f99eddb07f6342b5355e1510944
4c367bfc9982327c5517bd7e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,8,4,string 4,You know it.,Das weißt du.,translate,translated,displayed-string,f641131224e06528e13c9999c24ab439e619dbde579e224273fff1f4213949e5
3d72158dfc920e45b39d09fc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,9,2,string 2,"All right. If you're not going to back down, you can come with me.","Wenn du nicht wieder runterkommst, kannst du mitkommen.",translate,translated,displayed-string,d6b61f8c4e1fd34b2068530e5f3679df117b4ea16990c83773fb9fbed9b129c9
0bfb889772af94cfa0c300dd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,9,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0090,s13_A_SFsfSFsf_Aabb_d100_m010_010_0090,protected,protected,resource-or-id,f57b5b1ec274f2c5e8a6a4c2f2a46e0b805d005b894b90b541cf42af5e8dad70
87172f6864b2b568ceb1a1a3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,9,4,string 4,"All right. If you're not going to back down, you can come with me.","Wenn du nicht wieder runterkommst, kannst du mitkommen.",translate,translated,displayed-string,d6b61f8c4e1fd34b2068530e5f3679df117b4ea16990c83773fb9fbed9b129c9
2aec5d21083aa92e035600ab,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,10,2,string 2,Hiruko...!,Hiruko...!,translate,translated,displayed-string,a6bc8047b9884986cecc863287b4d22e7539fe25ec35e261f4952fd66c3fefd4
c4cdc21e05ab0280c1fd9210,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,10,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0100,s13_A_SFsfSFsf_Aabb_d100_m010_010_0100,protected,protected,resource-or-id,878beb8faf089d5dc92fb23e8a3eecc5bde3bdeec59ca926e36c78d66f4c9f84
a6b82ffa22a77ff450f5a3e6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,10,4,string 4,Hiruko...!,Hiruko...!,translate,translated,displayed-string,a6bc8047b9884986cecc863287b4d22e7539fe25ec35e261f4952fd66c3fefd4
e731e6a4450d2ba2bbae1b8f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,11,2,string 2,Now stop wasting time and hurry!,"Jetzt hör auf, Zeit zu verschwenden und beeil dich!",translate,translated,displayed-string,46737a1f0d0eef8f8b813d71090d0221d1fa4e0e98f4ab8ff6043c822da95ddc
c6beab4db88449e0334a1dda,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,11,3,string2 3,s13_A_SFsfSFsf_Aabb_d100_m010_010_0110,s13_A_SFsfSFsf_Aabb_d100_m010_010_0110,protected,protected,resource-or-id,1d70b9009d83ba7e7fb81bdbf12179ef4a12033eab700d2371a6da7a69ac850c
3ab7081c585f849983778c59,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,11,4,string 4,Now stop wasting time and hurry!,"Jetzt hör auf, Zeit zu verschwenden und beeil dich!",translate,translated,displayed-string,46737a1f0d0eef8f8b813d71090d0221d1fa4e0e98f4ab8ff6043c822da95ddc
8486ca6f632ce3421ec3e642,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,12,2,string 2,"{fc(57e4f1)I lent Hiruko my shoulder to get her upright, supporting her weight as we headed for the stairs.}","{fc(57e4f1)Ich leihte Hiruko meine Schulter, um sie aufrecht zu bekommen, und stützte ihr Gewicht, als wir auf die Treppe gingen.}",translate,translated,displayed-string:fc-repair,338d61e463bf7bf621c0934b29ea3b9c28df36500dc2a01dde9d7a8f1ec82d25
6c0deb92817bae8da1478547,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,12,4,string 4,"{fc(57e4f1)I lent Hiruko my shoulder to get her upright, supporting her weight as we headed for the stairs.}","{fc(57e4f1)Ich leihte Hiruko meine Schulter, um sie aufrecht zu bekommen, und stützte ihr Gewicht, als wir auf die Treppe gingen.}",translate,translated,displayed-string:fc-repair,338d61e463bf7bf621c0934b29ea3b9c28df36500dc2a01dde9d7a8f1ec82d25
9435548d409d73aacda82dc2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,13,2,string 2,{fc(57e4f1)And then...},{fc(57e4f1)Und dann...},translate,translated,displayed-string:fc-repair,11637d10e029235236db5fa2f428d085eba2e6b44a82d7b1c917101dfc57faac
ff60984f40f9e12a200382da,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,13,4,string 4,{fc(57e4f1)And then...},{fc(57e4f1)Und dann...},translate,translated,displayed-string:fc-repair,11637d10e029235236db5fa2f428d085eba2e6b44a82d7b1c917101dfc57faac
cdcddf87cbacb8cb896a8a6d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,14,2,string 2,{fc(57e4f1)... ...},{fc(57e4f1)... ...},protected,protected,markup-only,8acc0c48cbc4a266e24ed0c969956c607e99b31b6d58b5cf5ba88a81029e6016
fb1a1bc2010d656617549918,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aabb_d100_m010_010.mbe/000_Sheet1.csv,14,4,string 4,{fc(57e4f1)... ...},{fc(57e4f1)... ...},protected,protected,markup-only,8acc0c48cbc4a266e24ed0c969956c607e99b31b6d58b5cf5ba88a81029e6016
