cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
ba3775ac362ccfe16bc8eb2d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,1,1,string 1,"001: Last Defense Academy 2nd Scenario: Farewell, Last Defense Academy","001: Letzte Verteidigungsakademie 2. Szenario: Abschied, Letzte Verteidigungsakademie",translate,translated,displayed-string,de05a3207f4e90e1d35921112600f36b4aa653486cc82f1dfcd4593696420578
44c4266b2b672d8f4c80914d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,2,1,string 1,002: Reset: Welcome to Last Defense Academy,002: Zurücksetzen: Willkommen auf der letzten Verteidigungsakademie,translate,translated,displayed-string,cf052a9c3dcb81406891d282bb07b7d57504048c8b518d9eb382b86e5104a4d3
2ed4be178fae896a0ebb95c6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,3,1,string 1,003: Goodbye Eito Route: Praying For Your Happiness,003: Auf Wiedersehen Eito Route: Beten für Ihr Glück,translate,translated,displayed-string,44d1cd222a59784d178b4f052f4a26971c5d3e3979f3b31ee3acc070967237f1
8b118d2a0e5bc082848aec82,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,4,1,string 1,004: Rebellion Route: Failed Alliance,004: Rebellion Route: gescheiterte Allianz,translate,translated,displayed-string,421a1df9350e41364eb4ba0b038c26ddeebac48018e0685dce7c8aef615e3371
6dbbbf0200dd9f81ed7a24d0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,5,1,string 1,005: Rebellion Route: My War,005: Rebellion Route: Mein Krieg,translate,translated,displayed-string,a2372c6f55b232d7294c0113a2796953175b0481e90ebea77a7aff4f18155ed0
920dc8e067fc731bfc9b73a3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,6,1,string 1,006: Rebellion Route: Seeds of Hope,006: Rebellion Route: Samen der Hoffnung,translate,translated,displayed-string,07aad7a650b535a25750f68391bccdb6e72d5e021f5afe8234ff7282a4021a14
6c1e01ff5e8e600db7708bd2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,7,1,string 1,007: Eva Route: Thank You,007: Eva Route: Vielen Dank,translate,translated,displayed-string,c66178cc27e0237dd8627497d813844605a9c2885d3aaad2cdc4cad6d57c3886
817cc8dcbc5ce2e4b53a22c7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,8,1,string 1,008: Eva Route: The Wanderers,008: Eva Route: Die Wanderer,translate,translated,displayed-string,877087e96af752f23141e1faf62cd700d3d16fab93ebd1120b638b8040b5f948
505441ebc5d43296ef8ccf06,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,9,1,string 1,009: Multiple Eitos Route: Endurance Match,009: Mehrere Eitos Route: Endurance Match,translate,translated,displayed-string,ef371188976c5c7014f1dead0b326e746d0e72897b062bd7bed3d3cb9884522f
f02730248428a7833862478b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/gallery_endlist_name.mbe/000_gallery_endList_name.csv,10,1,string 1,010: Multiple Eitos Route: Together Forever,010: Mehrere Eitos Route: Gemeinsam für immer,translate,translated,displayed-string,5cc1ab040802d9ec335c3764af7f1e7a045b697252579c722b2721d0a297974a
