cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9f219c5a4cba5edcb499b829,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 97,Tag 97,translate,translated,displayed-string,0b050dd511c2da5003911e36b0d5867a3087e5919fda8bf9ba95d928e78f26ea
3973117dabfe8a0c4defd294,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a44ae003ab057dc772cf4b74,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 97,Tag 97,translate,translated,displayed-string,0b050dd511c2da5003911e36b0d5867a3087e5919fda8bf9ba95d928e78f26ea
a05a8e7c5b955b9239f17300,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,2,2,string 2,It's your 97th day of active service here at Last Defense Academy! A perfect morning to pray for humanity's great victory!,"Es ist euer 97. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie! Ein perfekter Morgen, um für den großen Sieg der Menschheit zu beten!",translate,translated,displayed-string,42f0a75f32dde4f04e2bcae78e5f8eec6ab64442037587e4df818dd70add2ecc
46e84c0e7e53e3d9f13395e3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s14_B_ComedyRt_Bb_d097_m010_010_0030,s14_B_ComedyRt_Bb_d097_m010_010_0030,protected,protected,resource-or-id,afa701f80522607420ecb8ea3737341f96ca416f40ada31e2281aec1a39c2b87
3d145a16a3e347a42d706c14,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,2,4,string 4,It's your 97th day of active service here at Last Defense Academy! A perfect morning to pray for humanity's great victory!,"Es ist euer 97. Tag des aktiven Dienstes hier an der letzten Verteidigungsakademie! Ein perfekter Morgen, um für den großen Sieg der Menschheit zu beten!",translate,translated,displayed-string,42f0a75f32dde4f04e2bcae78e5f8eec6ab64442037587e4df818dd70add2ecc
e42ddbd1036c0704a942630e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,3,2,string 2,The goal is right in front of you! All of humanity is cheering for you!,Das Ziel liegt direkt vor Ihnen! Die ganze Menschheit jubelt für Sie!,translate,translated,displayed-string,4cd5ae3c8f5e60387f7382bfa64d7806637f932c979252c793706425dfb02656
dfa4e773ac54e8748f25da88,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_B_ComedyRt_Bb_d097_m010_010_0040,s14_B_ComedyRt_Bb_d097_m010_010_0040,protected,protected,resource-or-id,c1ba1c6e685f4a3ff9907ff7c5eefb96e65921b6741cdc857db96b61329e9ea7
f0e191623f12977dfe14b743,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,3,4,string 4,The goal is right in front of you! All of humanity is cheering for you!,Das Ziel liegt direkt vor Ihnen! Die ganze Menschheit jubelt für Sie!,translate,translated,displayed-string,4cd5ae3c8f5e60387f7382bfa64d7806637f932c979252c793706425dfb02656
d8e16ec160b960de7c577336,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,4,2,string 2,A bright and happy future awaits you! A new history for humanity will soon begin!,Eine strahlende und glückliche Zukunft erwartet euch! Eine neue Geschichte für die Menschheit wird bald beginnen!,translate,translated,displayed-string,d1b4857d13ca9776c1b6c6a200c1fce995a39ac7c688bf7a100cc97faca028f3
473a35434b457b7d421f0681,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s14_B_ComedyRt_Bb_d097_m010_010_0050,s14_B_ComedyRt_Bb_d097_m010_010_0050,protected,protected,resource-or-id,3f4f4f1cf738d4dd2b164cf3f1453bbd17bd0e5c309b0f7cfb49fe82f8e5d7b0
51c8a6882317c9f845739aa5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_bb_d097_m010_010.mbe/000_Sheet1.csv,4,4,string 4,A bright and happy future awaits you! A new history for humanity will soon begin!,Eine strahlende und glückliche Zukunft erwartet euch! Eine neue Geschichte für die Menschheit wird bald beginnen!,translate,translated,displayed-string,d1b4857d13ca9776c1b6c6a200c1fce995a39ac7c688bf7a100cc97faca028f3
