cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
bd91038f637322e97742d89d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,1,2,string 2,There sure are a lot of them this time... They probably think this will be an easy win because we've got a hopeless weakling like me on our side.,"Es gibt sicher viele von ihnen dieses Mal... sie denken wahrscheinlich, dass dies ein einfacher Sieg sein wird, weil wir einen hoffnungslosen Schwächling wie mich auf unserer Seite haben.",translate,translated,displayed-string,6f0e0e43556b2f6e8be4ef33409b974dbc4563437759129d4b795fc6b8c2c900
d338fde0fce37424f72633c0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,1,3,string2 3,s12_0_FantasyR_A0_d063_m060_010_0010,s12_0_FantasyR_A0_d063_m060_010_0010,protected,protected,resource-or-id,60fe26b6631a4bd02424542afd3d810d847cbc8bc4b7d6121920755cff39de94
10ee7162c566686c9d533589,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,1,4,string 4,There sure are a lot of them this time... They probably think this will be an easy win because we've got a hopeless weakling like me on our side.,"Es gibt sicher viele von ihnen dieses Mal... sie denken wahrscheinlich, dass dies ein einfacher Sieg sein wird, weil wir einen hoffnungslosen Schwächling wie mich auf unserer Seite haben.",translate,translated,displayed-string,6f0e0e43556b2f6e8be4ef33409b974dbc4563437759129d4b795fc6b8c2c900
809e4e6f57816abf2bb5a8fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,2,2,string 2,"I feel a lot better knowing there's no commander, though.","Ich fühle mich viel besser, wenn ich weiß, dass es keinen Commander gibt.",translate,translated,displayed-string,0f8748ca6dd41fef1117aea3675d8a01db8d12e4449cb372d1ee987595c16a67
a8ee92a3ed827e9e5ccf6686,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,2,3,string2 3,s12_0_FantasyR_A0_d063_m060_010_0020,s12_0_FantasyR_A0_d063_m060_010_0020,protected,protected,resource-or-id,9978af83e752c70306274f711645a9c79ac8a03e8e0ebc649739e90940c2db63
3e28211e4ce21c8fed2701b4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,2,4,string 4,"I feel a lot better knowing there's no commander, though.","Ich fühle mich viel besser, wenn ich weiß, dass es keinen Commander gibt.",translate,translated,displayed-string,0f8748ca6dd41fef1117aea3675d8a01db8d12e4449cb372d1ee987595c16a67
e844970a3b6c89e5465c4001,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,3,2,string 2,That doesn't mean we can take it easy. V'ehxness might pop up again any minute now.,"Das heißt nicht, dass wir es ruhig angehen lassen. V'ehxness könnte jetzt jede Minute wieder auftauchen.",translate,translated,displayed-string,617fdf977882ba1814bd649e8e73d77c90c088873f74b44e37c9c72c4ec3b36b
716f39f84ecee8afa2af3d47,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,3,3,string2 3,s12_0_FantasyR_A0_d063_m060_010_0030,s12_0_FantasyR_A0_d063_m060_010_0030,protected,protected,resource-or-id,de001884994645959f7be0115ca1b02f9f46001b238f3811c6dde380054f8380
d4a257f2dba26ef5852ddf59,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,3,4,string 4,That doesn't mean we can take it easy. V'ehxness might pop up again any minute now.,"Das heißt nicht, dass wir es ruhig angehen lassen. V'ehxness könnte jetzt jede Minute wieder auftauchen.",translate,translated,displayed-string,617fdf977882ba1814bd649e8e73d77c90c088873f74b44e37c9c72c4ec3b36b
f47de1740c04cf78c573963e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,4,2,string 2,"Let her come! We'll figure somethin' out. No guts, no glory!","Lass sie kommen, wir finden was raus.",translate,translated,displayed-string,059f8a50e000048aaaf246613bcf9eea158d863d32219ed80146152b7f58e1b7
4d6cbdfe74e6ed9a63a04f8c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,4,3,string2 3,s12_0_FantasyR_A0_d063_m060_010_0040,s12_0_FantasyR_A0_d063_m060_010_0040,protected,protected,resource-or-id,de8940f6e1bf28b30ac040f73d1361d322c9b7119049ee1d516cc2ee639f57b8
c97bf21a9dbd681a75a9ac14,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,4,4,string 4,"Let her come! We'll figure somethin' out. No guts, no glory!","Lass sie kommen, wir finden was raus.",translate,translated,displayed-string,059f8a50e000048aaaf246613bcf9eea158d863d32219ed80146152b7f58e1b7
7abaa617d767dd879c8c3e82,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,5,2,string 2,"You think ""guts"" are enough to win? I knew you were a hothead, but I didn't know you were a simpleton as well.","Sie denken, ""Mut"" reicht, um zu gewinnen? Ich wusste, dass Sie ein Hitzkopf sind, aber ich wusste nicht, dass Sie auch ein Einfalscher Mensch sind.",translate,translated,displayed-string,1ea42218bfdf56fba4768bcf4e74c990f37f8d2f60313945c74d32582c4cd925
ee0ad2f48ec831d933bd8331,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,5,3,string2 3,s12_0_FantasyR_A0_d063_m060_010_0050,s12_0_FantasyR_A0_d063_m060_010_0050,protected,protected,resource-or-id,d6127b852375b7dabea40e300dec435939a0a1bee2a66ef8b0c7407233d17f5b
d9c886d33abe88a152216c7d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,5,4,string 4,"You think ""guts"" are enough to win? I knew you were a hothead, but I didn't know you were a simpleton as well.","Sie denken, ""Mut"" reicht, um zu gewinnen? Ich wusste, dass Sie ein Hitzkopf sind, aber ich wusste nicht, dass Sie auch ein Einfalscher Mensch sind.",translate,translated,displayed-string,1ea42218bfdf56fba4768bcf4e74c990f37f8d2f60313945c74d32582c4cd925
dd395d61fcc2430e638998d3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d063_m060_010.mbe/000_Sheet1.csv,6,2,string 2,"Say that again, four eyes!","Sag das noch mal, vier Augen!",translate,translated,displayed-string,45563b40dae7392325a3314c4a3a6df251b41e12e3d624ea0b4b8d82ea43d3b3
