cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
97b8a4111a4de9c1310f5c21,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,1,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
5b6a8f3b0cff97c586d38a50,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8c2bbcb60c373fc29399809f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,1,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
9dc72ae7796c8e7273493003,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(cfff3f)*shnk!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!}",translate,translated,displayed-string:fc-repair,23b22d2a69d88481e0f07162a838d25381add98c908fe65e19962f5751a36d4f
f11193ef2fe68cb6730a1fb3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(cfff3f)*shnk!*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!}",translate,translated,displayed-string:fc-repair,23b22d2a69d88481e0f07162a838d25381add98c908fe65e19962f5751a36d4f
31d18e9985f1c649b9b8956a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I stabbed myself in the thigh as hard as I could.},"{fc(57e4f1)Ich stach mir in den Oberschenkel, so hart ich konnte.}",translate,translated,displayed-string:fc-repair,9a54be984735e0f7ad2c730908ddb2faa9ceda1425c657c8012e4703220e3c4e
72c6d09f7f6979407655001e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I stabbed myself in the thigh as hard as I could.},"{fc(57e4f1)Ich stach mir in den Oberschenkel, so hart ich konnte.}",translate,translated,displayed-string:fc-repair,9a54be984735e0f7ad2c730908ddb2faa9ceda1425c657c8012e4703220e3c4e
02601288f54b52bfa73f7362,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Urgh!,Urgh!,translate,translated,displayed-string,fb790430cb07eeb6d58533acd2a7c8db5a41c6ca9c44f15fdfcf77aaa2d7716e
978c1f28f0eb26f04c6512f5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bd1fb037cfc550858c154e16,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_bb_d062_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Urgh!,Urgh!,translate,translated,displayed-string,fb790430cb07eeb6d58533acd2a7c8db5a41c6ca9c44f15fdfcf77aaa2d7716e
