cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
427d9e0b9e8c558de4c166c3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)It wasn't even worth a thought—I had to stop the zombies, even if I had to do it all on my own.}","{fc(57e4f1)Es war nicht einmal einen Gedanken wert – ich musste die Zombies stoppen, selbst wenn ich das alles alleine machen musste.}",translate,translated,displayed-string:fc-repair,e43d687102273eed22417c96f5c6c8f370d65cef4232cc2a6f8e14a40c73150a
8b1b99bef7c9f836bf4ddf2d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)It wasn't even worth a thought—I had to stop the zombies, even if I had to do it all on my own.}","{fc(57e4f1)Es war nicht einmal einen Gedanken wert – ich musste die Zombies stoppen, selbst wenn ich das alles alleine machen musste.}",translate,translated,displayed-string:fc-repair,e43d687102273eed22417c96f5c6c8f370d65cef4232cc2a6f8e14a40c73150a
0dba8fb16d25aa6d1c241121,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)I'd at least find a way to get Kyoshika onto the escape pod while they were distracted, too.}","{fc(57e4f1)Ich würde wenigstens einen Weg finden, Kyoshika auf die Fluchtkapsel zu bringen, während sie auch abgelenkt waren.}",translate,translated,displayed-string:fc-repair,bfde49f0b7d4345e3112f20caba267ad89530091157e5ec3cafb47f7a7b879ef
8bfb4404f1351420315ed57e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)I'd at least find a way to get Kyoshika onto the escape pod while they were distracted, too.}","{fc(57e4f1)Ich würde wenigstens einen Weg finden, Kyoshika auf die Fluchtkapsel zu bringen, während sie auch abgelenkt waren.}",translate,translated,displayed-string:fc-repair,bfde49f0b7d4345e3112f20caba267ad89530091157e5ec3cafb47f7a7b879ef
26af65b0e76f20f43bd59a59,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I'd already grabbed her hand and started running before my mind reached that conclusion.},"{fc(57e4f1)Ich hatte bereits ihre Hand ergriffen und begann zu laufen, bevor mein Verstand zu diesem Schluss kam.}",translate,translated,displayed-string:fc-repair,d85d27bf36eed37cef8d45f478944e10342a7de38f3d7213b8dd77ab087121ef
d09506390045248dcd58d280,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I'd already grabbed her hand and started running before my mind reached that conclusion.},"{fc(57e4f1)Ich hatte bereits ihre Hand ergriffen und begann zu laufen, bevor mein Verstand zu diesem Schluss kam.}",translate,translated,displayed-string:fc-repair,d85d27bf36eed37cef8d45f478944e10342a7de38f3d7213b8dd77ab087121ef
f1375bf3143f400014336eaf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"Run to the escape pod, Kyoshika!","Lauf zur Fluchtkapsel, Kyoshika!",translate,translated,displayed-string,91a9f2230028908b7d03d118571a555e77a2bb37accbbc7130860d29eb0145d1
59df760d19215c46c7d138ea,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s14_A_Splatter_Bbb_d100_m010_010_0040,s14_A_Splatter_Bbb_d100_m010_010_0040,protected,protected,resource-or-id,8bb5174a24e4f6663c09abd7b6220a2a23335c64ebf78ba8ddc943ac9a27957c
0504d8ffbcce943793a2cf28,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"Run to the escape pod, Kyoshika!","Lauf zur Fluchtkapsel, Kyoshika!",translate,translated,displayed-string,91a9f2230028908b7d03d118571a555e77a2bb37accbbc7130860d29eb0145d1
76b0d5be1a927911d6a64b55,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,5,2,string 2,...!,...!,protected,protected,non-linguistic,10069c101bcc95c1e9d82d15bfa09c57f4d2d732534878c2195b5f3a83764abe
80ed65b524ed406e3e443b60,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,s14_A_Splatter_Bbb_d100_m010_010_0050,s14_A_Splatter_Bbb_d100_m010_010_0050,protected,protected,resource-or-id,ece181a17606e61aa797e874680172c26022270902959609eb2b511635755877
c0ee2eb3eac263b26489a858,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,5,4,string 4,...!,...!,protected,protected,non-linguistic,10069c101bcc95c1e9d82d15bfa09c57f4d2d732534878c2195b5f3a83764abe
3a7e65bfa255c680957be126,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,6,2,string 2,GROOOOOH!,GROOOOOOOH!,translate,translated,displayed-string,fae568826b60aae7586cf3ef08cabc0ce145d3e90f0c55447ac9bc181cbae728
c742574803b21ba76e3a874a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,s14_A_Splatter_Bbb_d100_m010_010_0060,s14_A_Splatter_Bbb_d100_m010_010_0060,protected,protected,resource-or-id,db792cfc220f3db98df8f600088ad8ddd8ca9dfbdfd7e30101e17102257bac61
cfad21ad06a0b4e73ebed157,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,6,4,string 4,GROOOOOH!,GROOOOOOOH!,translate,translated,displayed-string,fae568826b60aae7586cf3ef08cabc0ce145d3e90f0c55447ac9bc181cbae728
b742f059eabc0664f7b67686,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,7,2,string 2,Outta my way!,Aus dem Weg!,translate,translated,displayed-string,dfb4d0f20ad18bd99efa0d33c2c89696b55adfb4c1d82104e07b21d4ab7038ed
9179ce77b564137378a803fa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,s14_A_Splatter_Bbb_d100_m010_010_0070,s14_A_Splatter_Bbb_d100_m010_010_0070,protected,protected,resource-or-id,36ab4abe94fe5eb4e71e7c5166c271ecb4867c39c3fe8f4fa44663b8335db809
be7f43c052620eafc0890063,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,7,4,string 4,Outta my way!,Aus dem Weg!,translate,translated,displayed-string,dfb4d0f20ad18bd99efa0d33c2c89696b55adfb4c1d82104e07b21d4ab7038ed
4a24b658efbe48a582fc2738,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)We got nearer and nearer to the escape pod while dodging a continuous stream of attacks from the zombies.},"{fc(57e4f1)Wir kamen näher und näher an die Fluchtkapsel, während wir einem kontinuierlichen Strom von Angriffen von den Zombies ausweichen.}",translate,translated,displayed-string:fc-repair,2d84ff3ad842dba4cf855efa0d1d4a85d4aa397c453eb3deec3a1ee702bced12
c29cece820665a0e77d300a5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)We got nearer and nearer to the escape pod while dodging a continuous stream of attacks from the zombies.},"{fc(57e4f1)Wir kamen näher und näher an die Fluchtkapsel, während wir einem kontinuierlichen Strom von Angriffen von den Zombies ausweichen.}",translate,translated,displayed-string:fc-repair,2d84ff3ad842dba4cf855efa0d1d4a85d4aa397c453eb3deec3a1ee702bced12
fd45fc439c18e59c665d0b70,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_bbb_d100_m010_010.mbe/000_Sheet1.csv,9,2,string 2,"Get in now, Kyoshika!","Steigen Sie ein, Kyoshika!",translate,translated,displayed-string,67f2de459f5c83942909875297857d84d28935361ea5ff468030c49fa1fc0fe3
