cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
4bc33dd3e27b02f693f8a802,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 51,Tag 51,translate,translated,displayed-string,3b17e47671e8a6433c02d4a276504884fac458f1db0fb4c8aad455974d8f6814
68b25140ee2aa49895bc9ec8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
14ef201409e258d55b2c54d8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 51,Tag 51,translate,translated,displayed-string,3b17e47671e8a6433c02d4a276504884fac458f1db0fb4c8aad455974d8f6814
523e6e19d127b4a0fd56574d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
cf8d9cd1b5167b707f7669c0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s13_B_LoveLove_B0_d051_m010_010_0030,s13_B_LoveLove_B0_d051_m010_010_0030,protected,protected,resource-or-id,1ca951dac363290083d0c2dd55ece7112ee2edd0c1fac6784f222b5535e06615
03bb559737bf40cc649c7401,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
bd0b09ccdbaa035ebecab23a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 51st day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 51. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,011d9dccc7afcae3759db9b7f88d8ad3de6a49e81f4284220fdb6e8b661646b1
72d3d084e9036d4b7b86e16e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s13_B_LoveLove_B0_d051_m010_010_0040,s13_B_LoveLove_B0_d051_m010_010_0040,protected,protected,resource-or-id,697394ad2605b2ecd834a53e9a9b5848d456b1f856d47a9c19026e283ce0aa1d
1a2c07d92de5ad4dfd535f55,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 51st day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 51. Tag des aktiven Dienstes hier bei Last Defense Academy!,translate,translated,displayed-string,011d9dccc7afcae3759db9b7f88d8ad3de6a49e81f4284220fdb6e8b661646b1
cae9fa78921f90867a117e3f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_b0_d051_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
