cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a8e1427eb3f1f14658986ace,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,1,2,string 2,"*yawn* At ease, soldiers. It's time to hit the hay.","*gähnen* Ganz ruhig, Soldaten. Es ist Zeit, das Heu zu treffen.",translate,translated,displayed-string,1b154f2c4d039f3477ed6f3bff590d1fc8ec4d79a1c4f321d693c1e573642767
109c95832f46f0c22c274fe5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,s12_0_FantasyR_A0_d049_m030_010_0020,s12_0_FantasyR_A0_d049_m030_010_0020,protected,protected,resource-or-id,3864bd3dea37189d7748ac32fe7df4adcb62b17609c9ecdcf21b36d659e19e4b
cd63204b9d879017ec44d058,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,1,4,string 4,"*yawn* At ease, soldiers. It's time to hit the hay.","*gähnen* Ganz ruhig, Soldaten. Es ist Zeit, das Heu zu treffen.",translate,translated,displayed-string,1b154f2c4d039f3477ed6f3bff590d1fc8ec4d79a1c4f321d693c1e573642767
42f69e6ed91e6e00ddb94c08,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,2,2,string 2,"You never know when the invaders might attack, so rest up while you still can.","Man weiß nie, wann die Invasoren angreifen könnten, also ruhen Sie sich aus, solange Sie es noch können.",translate,translated,displayed-string,3a86d16a8dba2e91e6acf13cc1e47bdef25c7a29c9b283f4fcbd24dda5bde979
96de02bb776a737a6e799309,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,2,3,string2 3,s12_0_FantasyR_A0_d049_m030_010_0030,s12_0_FantasyR_A0_d049_m030_010_0030,protected,protected,resource-or-id,6c829b26cba1c44cb1aac5205a9f7a6a4f306292bd02961d249848529f601caf
9abdf50afdc4fd9d1b65cf63,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,2,4,string 4,"You never know when the invaders might attack, so rest up while you still can.","Man weiß nie, wann die Invasoren angreifen könnten, also ruhen Sie sich aus, solange Sie es noch können.",translate,translated,displayed-string,3a86d16a8dba2e91e6acf13cc1e47bdef25c7a29c9b283f4fcbd24dda5bde979
09d6498bd00ad3e9bdbd38b9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,3,2,string 2,"Well then, good night...","Also dann, gute Nacht...",translate,translated,displayed-string,8b7c806679ac2b411ecfca735c9eca78525c579fe346c0f0374f1a375b08ca9c
dcfa38042c2d0752ed626928,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,s12_0_FantasyR_A0_d049_m030_010_0040,s12_0_FantasyR_A0_d049_m030_010_0040,protected,protected,resource-or-id,791ccf843a44b5de8af8651fd2b1cae4a2c12fa98e89d3a390d436c625134425
c6ba1d97bec0058dee4ea954,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,3,4,string 4,"Well then, good night...","Also dann, gute Nacht...",translate,translated,displayed-string,8b7c806679ac2b411ecfca735c9eca78525c579fe346c0f0374f1a375b08ca9c
ffb9ec3390384b11ed905645,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s12_0_fantasyr_a0_d049_m030_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)After the nighttime announcement, Darumi called me to her room...}",{fc(57e4f1)Nach der nächtlichen Ankündigung rief Darumi mich in ihr Zimmer...},translate,translated,displayed-string:fc-repair,0383adcf5cbf7c70c20c9344b9d7cdbdd8c106d2e151f40c2aa9835c0e2900a1
