cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d770bd5f786d94190e401670,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,1,2,string 2,What is it you want to talk about so badly? You're creeping me out.,Worüber willst du so dringend reden?,translate,translated,displayed-string,2086001dabe2afb1cb1159388f2ebc26f0a84c3978825648b7a201d36eb6ba99
48f71f38f515324de51ab133,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9e3ac5255735e3bc9bf864ab,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,1,4,string 4,What is it you want to talk about so badly? You're creeping me out.,Worüber willst du so dringend reden?,translate,translated,displayed-string,2086001dabe2afb1cb1159388f2ebc26f0a84c3978825648b7a201d36eb6ba99
7cfd6ecccd173cdf4af2b010,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"Please, just stay cool and hear me out.","Bitte, bleib ruhig und hör mir zu.",translate,translated,displayed-string,74c23f227b6a5c96bfaaddbe740d8340d5071f8206b1faaa6e08553b9187c40c
2ba764da495d4fd44fa4a3c9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3098f275b492c62fb93cb2d0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"Please, just stay cool and hear me out.","Bitte, bleib ruhig und hör mir zu.",translate,translated,displayed-string,74c23f227b6a5c96bfaaddbe740d8340d5071f8206b1faaa6e08553b9187c40c
cc5f52177b09ff208a7c4a39,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,3,2,string 2,We don't have to fight anymore. We can just run away.,"Wir müssen nicht mehr kämpfen, wir können einfach weglaufen.",translate,translated,displayed-string,a2164b75eab63975fd188c28bdbf52f6c8b65e3b6b16b3ad1f49a144719f5471
ea713d05cb6c397691f84a91,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
275c97969d3ebf4728c6f1be,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,3,4,string 4,We don't have to fight anymore. We can just run away.,"Wir müssen nicht mehr kämpfen, wir können einfach weglaufen.",translate,translated,displayed-string,a2164b75eab63975fd188c28bdbf52f6c8b65e3b6b16b3ad1f49a144719f5471
98e81a80a2e3d1d004dd1e19,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,4,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
033a149ff9403c186291bd1d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b5991a93e6624b25063927e9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,4,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
5a3adf7579d0a496338c44f9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,5,2,string 2,"If you're not joking, then can I safely assume that you've finally lost your mind?","Wenn du nicht scherzt, kann ich sicher davon ausgehen, dass du endlich den Verstand verloren hast?",translate,translated,displayed-string,014d7153663e6a2865e68d17b0ef555955c939daacc6fc210aa30de1d3929921
e363b4c4022bd49c43d014cb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
412c301544f33be77c9bc6e5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,5,4,string 4,"If you're not joking, then can I safely assume that you've finally lost your mind?","Wenn du nicht scherzt, kann ich sicher davon ausgehen, dass du endlich den Verstand verloren hast?",translate,translated,displayed-string,014d7153663e6a2865e68d17b0ef555955c939daacc6fc210aa30de1d3929921
682c92b69b8f8283cd97030a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,6,2,string 2,"I'm not joking, and I'm not crazy.","Ich scherze nicht, und ich bin nicht verrückt.",translate,translated,displayed-string,7267d074a00194549f7eba998d67e1ddc69dbe09adc344a949b2f030320263ed
05ebee03c7a83463342f8273,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8acf4b7e0b0b2ee9446fe917,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,6,4,string 4,"I'm not joking, and I'm not crazy.","Ich scherze nicht, und ich bin nicht verrückt.",translate,translated,displayed-string,7267d074a00194549f7eba998d67e1ddc69dbe09adc344a949b2f030320263ed
ad8536f7f576c51336d52364,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,7,2,string 2,"A crazy person wouldn't be aware that they lost their mind, anyway.","Ein Verrückter wäre sich sowieso nicht bewusst, dass er den Verstand verloren hat.",translate,translated,displayed-string,ffeff54ffffc301eb3dc2c2c13e85dfcd044479285daaf2598e435c74008e418
ae80fbbac75c8e3b9bf3e75c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
52182eb705fb88712931e3eb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,7,4,string 4,"A crazy person wouldn't be aware that they lost their mind, anyway.","Ein Verrückter wäre sich sowieso nicht bewusst, dass er den Verstand verloren hat.",translate,translated,displayed-string,ffeff54ffffc301eb3dc2c2c13e85dfcd044479285daaf2598e435c74008e418
c42d6b167955f5a367f89cf8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,8,2,string 2,"Please, just hear me out!","Bitte, hör mir einfach zu!",translate,translated,displayed-string,eb64e5d0a824f366537dd493bf9c4db83b1d69aa64c9687ee9f4d6963981d8eb
e071830f98e08e7350052221,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_aaa_d035_m020_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
