cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
47ddd88d43f288c5e6c3f796,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,1,2,string 2,"What's the matter, Darumi? Did something happen?","Worum geht es, Darumi? Ist etwas geschehen?",translate,translated,displayed-string,314b603f4c38b9023732640e9c396e046a8a21985a69b18aae762c3a33dcf544
20c07b93cf34305b01a94835,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3b857a21ebcc63435a42f493,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,1,4,string 4,"What's the matter, Darumi? Did something happen?","Worum geht es, Darumi? Ist etwas geschehen?",translate,translated,displayed-string,314b603f4c38b9023732640e9c396e046a8a21985a69b18aae762c3a33dcf544
734cd00c06d593d7e8ff76f4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,2,2,string 2,I haven't been able to find my foundation all day... What am I gonna do...?,Ich konnte meine Stiftung nicht den ganzen Tag über finden... Was soll ich machen...?,translate,translated,displayed-string,49a73cd0e02abacfc9627fecd594080eef918f851766e16e10ca050144f687ba
129842a3b82d2a169c3631f6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e83ae38815ac3d9afb1263ef,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,2,4,string 4,I haven't been able to find my foundation all day... What am I gonna do...?,Ich konnte meine Stiftung nicht den ganzen Tag über finden... Was soll ich machen...?,translate,translated,displayed-string,49a73cd0e02abacfc9627fecd594080eef918f851766e16e10ca050144f687ba
a375a39a536c4c40172b0aa8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,3,2,string 2,So you just lost something...,Also haben Sie einfach etwas verloren...,translate,translated,displayed-string,f57e8946991571fbd844d1e2776b6e4cde6a752d85cc6802b64e2dbd0a6fa826
989b3ae475c9363238e30aa7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ad2248c002d365dcac9a7fb4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,3,4,string 4,So you just lost something...,Also haben Sie einfach etwas verloren...,translate,translated,displayed-string,f57e8946991571fbd844d1e2776b6e4cde6a752d85cc6802b64e2dbd0a6fa826
013d6fa7f5532240a3ad44dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,4,2,string 2,It must be pretty expensive stuff for you to be this upset about it.,"Es muss ziemlich teuer sein, sich darüber aufzuregen.",translate,translated,displayed-string,f7e1518e2ef3927b3d2db1c0a5e8f60c0daab0ec4c70aec4cecb77535777f1f3
a63be4b21ecc74699451a2bf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0076e35f75e6c3dc84a9586e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,4,4,string 4,It must be pretty expensive stuff for you to be this upset about it.,"Es muss ziemlich teuer sein, sich darüber aufzuregen.",translate,translated,displayed-string,f7e1518e2ef3927b3d2db1c0a5e8f60c0daab0ec4c70aec4cecb77535777f1f3
439ba055cf75574ee8b596a4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,5,2,string 2,"Oh, no. It was dirt cheap, I bought it out of a bargain bin.","Oh, nein. Es war schmutzigbillig, ich kaufte es aus einem Schnäppchenpapier.",translate,translated,displayed-string,b60f8e26052ccc93a8533267040c2f5f66a876517f5ebd39ea96334f2b0f8317
483a5aed4d6b363e7d6bfbc2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
836a3a0126e605b9462ab2bf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,5,4,string 4,"Oh, no. It was dirt cheap, I bought it out of a bargain bin.","Oh, nein. Es war schmutzigbillig, ich kaufte es aus einem Schnäppchenpapier.",translate,translated,displayed-string,b60f8e26052ccc93a8533267040c2f5f66a876517f5ebd39ea96334f2b0f8317
5638729051ca028e5291a6d3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,6,2,string 2,Then why are you crying so hard?!,Warum weinen Sie dann so sehr?!,translate,translated,displayed-string,445fd24e626e48ee727a469238922cb936d0cf789ac1bfe9d3b0c436453989f5
788d4e965d2a819363e0c8bd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a02029d7aef4261502b37670,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,6,4,string 4,Then why are you crying so hard?!,Warum weinen Sie dann so sehr?!,translate,translated,displayed-string,445fd24e626e48ee727a469238922cb936d0cf789ac1bfe9d3b0c436453989f5
b4fe5eda9be1f5753ec61981,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,7,2,string 2,"Well... I just wanted to cry, okay?","Ich wollte nur weinen, okay?",translate,translated,displayed-string,90f1024a8e8900fa2532c290519c84e3ac84b64a4789cfafb3b44be1ccc8fc18
1bf93beb59fd06e58f8a867d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
94a325d61262a59402ae09f8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,7,4,string 4,"Well... I just wanted to cry, okay?","Ich wollte nur weinen, okay?",translate,translated,displayed-string,90f1024a8e8900fa2532c290519c84e3ac84b64a4789cfafb3b44be1ccc8fc18
96b4a21800b547dc69b52947,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,8,2,string 2,"I'm depressed, I wanna cry, and I can't find my foundation. That's as good a reason as any to cry.","Ich bin deprimiert, ich will weinen und kann meine Grundlage nicht finden. Das ist ein ebenso guter Grund wie jeder zu weinen zu weinen.",translate,translated,displayed-string,69000000ebb2aeb4bc99e7b58237fbdf60d30ac3a7c46e47ef00e08c47ded9b0
65376fe33631f781cef48857,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cde8becf8b7861a0c714a3a1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,8,4,string 4,"I'm depressed, I wanna cry, and I can't find my foundation. That's as good a reason as any to cry.","Ich bin deprimiert, ich will weinen und kann meine Grundlage nicht finden. Das ist ein ebenso guter Grund wie jeder zu weinen zu weinen.",translate,translated,displayed-string,69000000ebb2aeb4bc99e7b58237fbdf60d30ac3a7c46e47ef00e08c47ded9b0
923e386b0ab9a5b757a2ca9f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr004daru_01.mbe/000_Sheet1.csv,9,2,string 2,That's all.,Das ist alles.,translate,translated,displayed-string,d9cea145f00dcf4829d0da97149f38237bbe8bd376754f07ea874211d00a470e
