cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
2c34c39eb342474ea44cc168,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,1,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
df5a3d0caea26ff61dcdbaf2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2502e671cc443221b3012c8f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,1,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
0485e280b1329256a559519b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,2,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
143a1e082c06f44fdbc7f364,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1a5c30dc23875930ed768f3e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,2,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
29072f0dccf2ca6db80823a3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,3,2,string 2,"Do you hear me, Takumi Sumino...?","Hörst du mich, Takumi Sumino?",translate,translated,displayed-string,bb9e51aea5751a8e5ebf28d6df3d37e8bf70db4947209ef5a9529fbe77911d1e
4bccde20dc41a38db0db0120,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3f837aea190ecc31af65e070,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,3,4,string 4,"Do you hear me, Takumi Sumino...?","Hörst du mich, Takumi Sumino?",translate,translated,displayed-string,bb9e51aea5751a8e5ebf28d6df3d37e8bf70db4947209ef5a9529fbe77911d1e
1882dc63398aa585701e612e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,4,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
aeec0ce47fb676e651507f8d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
490e2669afe345c00642c0b9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,4,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
abeb0fc6b803185f10cc427a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,5,2,string 2,Yes...,"Ja, genau.",translate,translated,displayed-string,a43de6857ecefcf7aec5dd2dad7f7e750e6e28816f2819cf751754b3593bb660
d04ca42a912b01c0b07b1d94,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b700d1af474cf0378064fd15,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,5,4,string 4,Yes...,"Ja, genau.",translate,translated,displayed-string,a43de6857ecefcf7aec5dd2dad7f7e750e6e28816f2819cf751754b3593bb660
ae592871ddac1bf4d7a4e8d1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_b_kawanatk_b0_d028_m040_010.mbe/000_Sheet1.csv,6,2,string 2,I used my final ounce of strength to bring you here...,"Ich habe meine letzte Kraft benutzt, um dich hierher zu bringen...",translate,translated,displayed-string,1be361ab63fc3273adffb6dabffac9269e9147b09f2eec54477e758b329fc4df
