cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
e19b1ad9419bda8fb3ad4519,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)They pulled me outside Second-to-Last Defense Academy.},{fc(57e4f1)Sie zogen mich vor die Second-to-Last Defense Academy.},translate,translated,displayed-string:fc-repair,5f3a7ba2b89f36a8a574989e25919a1f689abfadff98944146110c525a43d728
7e4205dd36b8d30f77657e54,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)They pulled me outside Second-to-Last Defense Academy.},{fc(57e4f1)Sie zogen mich vor die Second-to-Last Defense Academy.},translate,translated,displayed-string:fc-repair,5f3a7ba2b89f36a8a574989e25919a1f689abfadff98944146110c525a43d728
6a9bf7f1a7df48fdf11325d2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)As I felt the wind on my skin, I could also smell the scent of blood mixed with it...}","{fc(57e4f1)Als ich den Wind auf meiner Haut spürte, konnte ich auch den Duft von Blut riechen, gemischt mit ihm...}",translate,translated,displayed-string:fc-repair,8d74fb866bff3049a50fa9c632bddffb6f95f0f6cdf02f2888b8240b2d52ffea
07d24ef4b8ae2bff038b032a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)As I felt the wind on my skin, I could also smell the scent of blood mixed with it...}","{fc(57e4f1)Als ich den Wind auf meiner Haut spürte, konnte ich auch den Duft von Blut riechen, gemischt mit ihm...}",translate,translated,displayed-string:fc-repair,8d74fb866bff3049a50fa9c632bddffb6f95f0f6cdf02f2888b8240b2d52ffea
669ca73db4963d949d9465eb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,3,2,string 2,Look there!,Sehen Sie da!,translate,translated,displayed-string,4be1ae9d219d7254db8eb93645e517f353d8f159dd392e8e7b43b6b3a6691674
b662df68625114ece661a1e8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
df76437bb715a7b1960e515e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,3,4,string 4,Look there!,Sehen Sie da!,translate,translated,displayed-string,4be1ae9d219d7254db8eb93645e517f353d8f159dd392e8e7b43b6b3a6691674
88d055ba741682cf8b253209,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,4,2,string 2,"I'm sorry, but I can't see...","Tut mir leid, aber ich kann nichts sehen...",translate,translated,displayed-string,5e6c6018ff86c70a93f337c7cafe4a5d8196aa7e9cb0e9934ae4650835e63eec
e338d97d92a9cdc84d73fecf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bd5eb6c574301867881d4c9e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,4,4,string 4,"I'm sorry, but I can't see...","Tut mir leid, aber ich kann nichts sehen...",translate,translated,displayed-string,5e6c6018ff86c70a93f337c7cafe4a5d8196aa7e9cb0e9934ae4650835e63eec
ab8e9ef60fd3f55569d67b56,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)I felt her hand that had been pulling me along suddenly let go, as if she had forgotten that I was blind.}","{fc(57e4f1)Ich fühlte ihre Hand, die mich an sich gezogen hatte, plötzlich losgelassen, als hätte sie vergessen, dass ich blind war.}",translate,translated,displayed-string:fc-repair,8787e03192a7f1ce9d3c6e01df9fc13bd541b659bd2884c9fa7d8aead9fa7b24
ffa8bf7a20c214574be3dd29,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)I felt her hand that had been pulling me along suddenly let go, as if she had forgotten that I was blind.}","{fc(57e4f1)Ich fühlte ihre Hand, die mich an sich gezogen hatte, plötzlich losgelassen, als hätte sie vergessen, dass ich blind war.}",translate,translated,displayed-string:fc-repair,8787e03192a7f1ce9d3c6e01df9fc13bd541b659bd2884c9fa7d8aead9fa7b24
cc6a0903b4931247c89ea033,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,6,2,string 2,Can you describe what's going on?,"Können Sie beschreiben, was los ist?",translate,translated,displayed-string,26e6fd4066699e5b6a4ac5b6bcfed115204980fd15103f6aec97910ed87cc785
7ddfc316de535d34f3fb9802,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
30a9b568b633b463e7582c62,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,6,4,string 4,Can you describe what's going on?,"Können Sie beschreiben, was los ist?",translate,translated,displayed-string,26e6fd4066699e5b6a4ac5b6bcfed115204980fd15103f6aec97910ed87cc785
f2fa78003f5953bfda3037fc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,7,2,string 2,The monsters are coming this way! I think they've realized there are people here!,"Die Monster kommen hierher, ich glaube, sie haben erkannt, dass es hier Leute gibt!",translate,translated,displayed-string,e16694be6ed9090b771efb75e4e9af7e28857e4d344b6f209ed3d325d3644191
7c3092bfaef48652d26a447b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ce9b5570f04ca527663888a4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,7,4,string 4,The monsters are coming this way! I think they've realized there are people here!,"Die Monster kommen hierher, ich glaube, sie haben erkannt, dass es hier Leute gibt!",translate,translated,displayed-string,e16694be6ed9090b771efb75e4e9af7e28857e4d344b6f209ed3d325d3644191
fb766c251a9c269cac0938a6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,8,2,string 2,How many?,Wie viele?,translate,translated,displayed-string,ba352e24c64c7137d1e4e1386b99b0eda7332e4e2d47863bbb213763d7ac6d27
0225f329d8f7a6c9919f646b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
18e88e28794df8ef0f181f90,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,8,4,string 4,How many?,Wie viele?,translate,translated,displayed-string,ba352e24c64c7137d1e4e1386b99b0eda7332e4e2d47863bbb213763d7ac6d27
f2cc168444fcf7a1064e9318,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,9,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
428976f01b5ba5d07c3bda23,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
57ba9d901fcca732f12c69f3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,9,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
8c825fe6752b8ed3ff8554f7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,10,2,string 2,T-Too many to count...,Zu viele zu zählen...,translate,translated,displayed-string,0527c968a22ef00fc83708d4b50b837b4e23e0a39a489db2f8e42a0d056ce3e4
36ce2ee7ef1cd94fd3da81e5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1da69ddf3045320e05e66bfc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,10,4,string 4,T-Too many to count...,Zu viele zu zählen...,translate,translated,displayed-string,0527c968a22ef00fc83708d4b50b837b4e23e0a39a489db2f8e42a0d056ce3e4
aaf0145d02a17ec60ade9171,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,11,2,string 2,{fc(57e4f1)Some of the children were shouting while others were trying to calm themselves down. Some started crying and others got angry.},"{fc(57e4f1)Einige der Kinder schrien, während andere versuchten, sich zu beruhigen. Einige fingen an zu weinen und andere wurden wütend.}",translate,translated,displayed-string:fc-repair,fd82437006c29a97ce703daf8c258d38818f70ac0c3c5bfe3c2c1a590576add8
34c690d679c9eed6e6994498,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,11,4,string 4,{fc(57e4f1)Some of the children were shouting while others were trying to calm themselves down. Some started crying and others got angry.},"{fc(57e4f1)Einige der Kinder schrien, während andere versuchten, sich zu beruhigen. Einige fingen an zu weinen und andere wurden wütend.}",translate,translated,displayed-string:fc-repair,fd82437006c29a97ce703daf8c258d38818f70ac0c3c5bfe3c2c1a590576add8
691761105a3aaa54638bcee6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,12,2,string 2,{fc(57e4f1)Nobody had expected this to happen.},"{fc(57e4f1)Niemand hatte erwartet, dass das passiert.}",translate,translated,displayed-string:fc-repair,3e01bdbf22bb517d49502b3a481efe1d6cff71cf86c2de828a4b3a25f360bcfa
480f36d6b19353023ea45d70,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s02_0_aotukino_00_d088_m010_020.mbe/000_Sheet1.csv,12,4,string 4,{fc(57e4f1)Nobody had expected this to happen.},"{fc(57e4f1)Niemand hatte erwartet, dass das passiert.}",translate,translated,displayed-string:fc-repair,3e01bdbf22bb517d49502b3a481efe1d6cff71cf86c2de828a4b3a25f360bcfa
