cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
260c936e51c1cc9bb4be67b6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,1,2,string 2,*huff...* *huff...* *huff...* *huff...*,*huff...* *huff...* *huff...* *huff...*,translate,translated,displayed-string,e7f0498ccc9b5a42157524db8aa724c78b60ecc3b2b24b5eb0d6c0490839a729
61ce3d8eb9f114b6507b9d03,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
aebe5361a0950eb8f81c1f8e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,1,4,string 4,*huff...* *huff...* *huff...* *huff...*,*huff...* *huff...* *huff...* *huff...*,translate,translated,displayed-string,e7f0498ccc9b5a42157524db8aa724c78b60ecc3b2b24b5eb0d6c0490839a729
2cae1c3652f220bfbf2d8226,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,2,2,string 2,Is that all of them...?,Sind das alle...?,translate,translated,displayed-string,85449fa36e4784e6f9a990bfd4a003f21ecee911302d49667cf4f70e03bf72d8
c85becf7f3ee045737db2c88,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
faef3a42e20ed77e903998a1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,2,4,string 4,Is that all of them...?,Sind das alle...?,translate,translated,displayed-string,85449fa36e4784e6f9a990bfd4a003f21ecee911302d49667cf4f70e03bf72d8
efcc782c30f41dc7cbab2dee,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,3,2,string 2,Seems so. I don't sense any trace of them.,Scheint so. Ich spüre keine Spur von ihnen.,translate,translated,displayed-string,be82e06240972d0530e66c6aceb1eac64dad37cfa40e1b2e15714caa2f27d21b
9e9b2804a6d033f72ba05caf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8be1e9dc68b347733c1a861f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,3,4,string 4,Seems so. I don't sense any trace of them.,Scheint so. Ich spüre keine Spur von ihnen.,translate,translated,displayed-string,be82e06240972d0530e66c6aceb1eac64dad37cfa40e1b2e15714caa2f27d21b
6ccfd6367f8e1468dacc89e0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_00_d026_m120_010.mbe/000_Sheet1.csv,4,2,string 2,"Well fought, Takumi. You were in quite a predicament considering it's the first day.","Du warst in einer ziemlich schwierigen Lage, wenn man bedenkt, dass es der erste Tag ist.",translate,translated,displayed-string,5b2dc0a7a37c26a25ba8377ad0398a96eb48544f65bf2aeb89d9bf3c43994203
