cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c5c2c63ecc9eec252b26b9f8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)It was the same knife that had killed Eva.},"{fc(57e4f1)Es war dasselbe Messer, das Eva getötet hatte.}",translate,translated,displayed-string:fc-repair,d07de54e1576f918a8dff7b5b9ada8ef0edc568c11631b97577bb87538315dfa
6ddbb0e82b81b979d0733b0c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)It was the same knife that had killed Eva.},"{fc(57e4f1)Es war dasselbe Messer, das Eva getötet hatte.}",translate,translated,displayed-string:fc-repair,d07de54e1576f918a8dff7b5b9ada8ef0edc568c11631b97577bb87538315dfa
e2a1168ee7cee21706b638f3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,2,2,string 2,Nngh...,Nein...,translate,translated,displayed-string,a4262a81e3cd36e1af6d1fa130b1878e43a41002a4528f343ad55387dc2d7af6
53bb9c27154070a7c46b117d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e19c5d4ee2d89286b14dc4de,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,2,4,string 4,Nngh...,Nein...,translate,translated,displayed-string,a4262a81e3cd36e1af6d1fa130b1878e43a41002a4528f343ad55387dc2d7af6
a66cf6c3717f8dd80e688e27,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,3,2,string 2,What the hell do you think you're doing...?!,"Was zum Teufel glaubst du, was du da tust...?!",translate,translated,displayed-string,999dcb1c25bfbe39379866d7825ffc53ff16998c8561eaa4a96592c2316283f7
8a7fd2c3494046c8bb91d7ab,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b47a6f3c71ba8ab835a14f63,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,3,4,string 4,What the hell do you think you're doing...?!,"Was zum Teufel glaubst du, was du da tust...?!",translate,translated,displayed-string,999dcb1c25bfbe39379866d7825ffc53ff16998c8561eaa4a96592c2316283f7
d606cb401f3bf2ac9d5f3cf8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,4,2,string 2,I had to be sure...but now I know. You share all the same sensations as me.,Ich musste sicher sein... aber jetzt weiß ich es. Sie teilen alle die gleichen Empfindungen wie ich.,translate,translated,displayed-string,6e34533f2f5b90857adfe31b8622475dc388c087265cb74df0673152397b6fd6
41b78c3109bee9a1e029c54b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s05_0_ninshiki_aa_d062_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
