cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
82e34fdb1d257e8a8d75cbd3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,1,2,string 2,*huff*...*gasp*...,*huff*...*gasp*...,translate,translated,displayed-string,387eeaf2322a0033c5f2bfec2f2cd4e799526fb149e2ec6b2652fe40f9f9076d
802f725b183a4538dc1e5390,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,1,3,string2 3,s11_0_SeisyunR_Aab_d065_m040_010_0010,s11_0_SeisyunR_Aab_d065_m040_010_0010,protected,protected,resource-or-id,2487efedf35d487e6f74c47aeb2c540bb40a3eff2b05fe2b62bbe121bf7c203e
5c33b66de75ed93e87f99df0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,1,4,string 4,*huff*...*gasp*...,*huff*...*gasp*...,translate,translated,displayed-string,387eeaf2322a0033c5f2bfec2f2cd4e799526fb149e2ec6b2652fe40f9f9076d
c898d427e7b3a7fd1ad2e0eb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,2,2,string 2,Haha... I lost...,Haha... ich habe verloren...,translate,translated,displayed-string,781a9ebf8224b81bb41412ea06ab680ede56f6105c25b6a8ba54c6f0f31dd860
82cfac88388763287ff65a51,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,2,3,string2 3,s11_0_SeisyunR_Aab_d065_m040_010_0020,s11_0_SeisyunR_Aab_d065_m040_010_0020,protected,protected,resource-or-id,8ec7cb70e14a54e39fe19ba7dd4625365ab26f2994ba2b91ae335fc7456f6fc3
9e1dd8ecce291fcb8c339904,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,2,4,string 4,Haha... I lost...,Haha... ich habe verloren...,translate,translated,displayed-string,781a9ebf8224b81bb41412ea06ab680ede56f6105c25b6a8ba54c6f0f31dd860
0cc7ce818e38a8b1c3bbf9aa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,3,2,string 2,"You're bleeding a lot, too... Not much cryptoglobin left in you, is there?","Du blutest auch viel, nicht mehr viel Kryptolobin in dir, oder?",translate,translated,displayed-string,8798e943a7030c8ca457fbef03ad19a0cf00d6fdabe91b09f45de77a8bb623dc
594056599c0ada2a3d655d40,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,3,3,string2 3,s11_0_SeisyunR_Aab_d065_m040_010_0030,s11_0_SeisyunR_Aab_d065_m040_010_0030,protected,protected,resource-or-id,a04fa0dbe431d323796c76ff337e79132972842d815932e60298f191a0f1dbf0
072ff071116594634799d91d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,3,4,string 4,"You're bleeding a lot, too... Not much cryptoglobin left in you, is there?","Du blutest auch viel, nicht mehr viel Kryptolobin in dir, oder?",translate,translated,displayed-string,8798e943a7030c8ca457fbef03ad19a0cf00d6fdabe91b09f45de77a8bb623dc
f8efc10bbd7533b58268e08d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,4,2,string 2,Shut up.,Halt die Klappe.,translate,translated,displayed-string,84c2f25feaf5ac355efbecc221157fb1414e9ff2767e442704f84d5a4138df4f
837e1a5b1b27981c21ee61a6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,4,3,string2 3,s11_0_SeisyunR_Aab_d065_m040_010_0040,s11_0_SeisyunR_Aab_d065_m040_010_0040,protected,protected,resource-or-id,9ae6b67778be7b58a3c03cc5bdbc20c76e5a21cbc1008ed89e495d568637bb17
adb519a9192a4ba4ecfd3394,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,4,4,string 4,Shut up.,Halt die Klappe.,translate,translated,displayed-string,84c2f25feaf5ac355efbecc221157fb1414e9ff2767e442704f84d5a4138df4f
568b02e5a5c547cfbe7fa97f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)My hand trembled as I gripped my blade. My vision was blurry and warped.},"{fc(57e4f1)Meine Hand zitterte, als ich meine Klinge griff. Meine Sicht war verschwommen und verdreht.}",translate,translated,displayed-string:fc-repair,3cf4f3e4d7104d38516df82e803522efe5d88490d97cf1a44cefbcb2d93b5d79
4780ccbb7d4b9a081e81b46e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)My hand trembled as I gripped my blade. My vision was blurry and warped.},"{fc(57e4f1)Meine Hand zitterte, als ich meine Klinge griff. Meine Sicht war verschwommen und verdreht.}",translate,translated,displayed-string:fc-repair,3cf4f3e4d7104d38516df82e803522efe5d88490d97cf1a44cefbcb2d93b5d79
ead5bb094b5771b8ae5a2558,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,6,2,string 2,"At this rate, you'll die too.",Bei diesem Tempo wirst du auch sterben.,translate,translated,displayed-string,4d9e0596cd034ada460908e96e819f676893c8ac5df4cc66fa978be0d40c035c
a202db0686221ea525750e81,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,6,3,string2 3,s11_0_SeisyunR_Aab_d065_m040_010_0060,s11_0_SeisyunR_Aab_d065_m040_010_0060,protected,protected,resource-or-id,73b06bbaf0d56f93f183fc761528398efa1aea10e05d7f6b24d52b1fb6efb319
5e27b6a89e43424c0a859736,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,6,4,string 4,"At this rate, you'll die too.",Bei diesem Tempo wirst du auch sterben.,translate,translated,displayed-string,4d9e0596cd034ada460908e96e819f676893c8ac5df4cc66fa978be0d40c035c
c650496090bf5d9529d7bc0b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)That much was obvious.},{fc(57e4f1)Das war offensichtlich.},translate,translated,displayed-string:fc-repair,48aad68c5e58721c455ecf90c36db8c220c3a8c54183bf16c196cfef799ac7cf
99faa960e8ef50d0983cbc68,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5a6cdb11ce730d9f542d3f12,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)That much was obvious.},{fc(57e4f1)Das war offensichtlich.},translate,translated,displayed-string:fc-repair,48aad68c5e58721c455ecf90c36db8c220c3a8c54183bf16c196cfef799ac7cf
2f217d50df3676ec22811671,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)Absorbing Eito's cryptoglobin might be able to save me.},{fc(57e4f1)Das Absorbieren von Eitos Kryptolobin könnte mich retten.},translate,translated,displayed-string:fc-repair,6e901e6e946766054fae27742d68475d37caa1864ded73a65db5cefee67dca57
35ff69cc6bd7dc70227354da,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f172b9b1c80fbf2476980b50,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)Absorbing Eito's cryptoglobin might be able to save me.},{fc(57e4f1)Das Absorbieren von Eitos Kryptolobin könnte mich retten.},translate,translated,displayed-string:fc-repair,6e901e6e946766054fae27742d68475d37caa1864ded73a65db5cefee67dca57
32ceb9a8b4dbf92d65dd4a92,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,9,2,string 2,"{fc(57e4f1)But I didn't want to do something like that, even if it meant I'd die.}","{fc(57e4f1)Aber ich wollte so etwas nicht tun, auch wenn es bedeutete, dass ich sterben würde.}",translate,translated,displayed-string:fc-repair,1c05a597c2b41405999d3ae6a9c9162413340b03df9b9b2fa82255d6be5c7dbc
13405ae655e489dc591595fc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
69e498b11242a8a10aebb89c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,9,4,string 4,"{fc(57e4f1)But I didn't want to do something like that, even if it meant I'd die.}","{fc(57e4f1)Aber ich wollte so etwas nicht tun, auch wenn es bedeutete, dass ich sterben würde.}",translate,translated,displayed-string:fc-repair,1c05a597c2b41405999d3ae6a9c9162413340b03df9b9b2fa82255d6be5c7dbc
7a00591b2ccaf6fc518a29fb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,10,2,string 2,What's it...matter...to you...?,Was ist dir... egal...?,translate,translated,displayed-string,48e2bfefbe863e59a869ee6c138c5984f396642ba6a44b06e9452dfaf9f03c03
57306c508b2ba9ee969c6b25,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,10,3,string2 3,s11_0_SeisyunR_Aab_d065_m040_010_0070,s11_0_SeisyunR_Aab_d065_m040_010_0070,protected,protected,resource-or-id,684e5ae3436313ba2d12a248aac2367871ee4ebd8c6adea87b6b0db4d0d5478a
850fe23d98197cff9180a329,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,10,4,string 4,What's it...matter...to you...?,Was ist dir... egal...?,translate,translated,displayed-string,48e2bfefbe863e59a869ee6c138c5984f396642ba6a44b06e9452dfaf9f03c03
9671c724905fe0c8dbb76e93,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,11,2,string 2,Hmph. Then do it.,Dann tu es.,translate,translated,displayed-string,11158e3bcf455f9d43a9302225c07d86e9e8e35c25ea1b98b69049effb4735c1
47a2e2e3df869af0b1eb3d9c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,11,3,string2 3,s11_0_SeisyunR_Aab_d065_m040_010_0080,s11_0_SeisyunR_Aab_d065_m040_010_0080,protected,protected,resource-or-id,b7911fc04d0c1d66bf5d155b08d3d8fa305494051322e1cd09b49dc4b5bf8c34
65c4b881a869b4ce85ac9724,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,11,4,string 4,Hmph. Then do it.,Dann tu es.,translate,translated,displayed-string,11158e3bcf455f9d43a9302225c07d86e9e8e35c25ea1b98b69049effb4735c1
ca16629019db0d7595285c5d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s11_0_seisyunr_aab_d065_m040_010.mbe/000_Sheet1.csv,12,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
