cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
1dd5daa648688b31a2563e50,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)We couldn't find any sign of Kako-G anywhere.},{fc(57e4f1)Wir konnten kein Zeichen von Kako-G finden.},translate,translated,displayed-string:fc-repair,d73270c900c3400c2a27721f1f60c3a976315f89c25d496507e595424df0f129
075edcd4860bc3472d78725a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)We couldn't find any sign of Kako-G anywhere.},{fc(57e4f1)Wir konnten kein Zeichen von Kako-G finden.},translate,translated,displayed-string:fc-repair,d73270c900c3400c2a27721f1f60c3a976315f89c25d496507e595424df0f129
ba6b0eb46d55472ca546926b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)And as we were searching, the sky grew dimmer.}","{fc(57e4f1)Und als wir suchten, wurde der Himmel immer dunkler.}",translate,translated,displayed-string:fc-repair,e642ac1dc09880251017815eb0fdd6fc012209b9f3f23a2cf4b15478b6d0b427
e5952dc4636391aafabc5ac5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)And as we were searching, the sky grew dimmer.}","{fc(57e4f1)Und als wir suchten, wurde der Himmel immer dunkler.}",translate,translated,displayed-string:fc-repair,e642ac1dc09880251017815eb0fdd6fc012209b9f3f23a2cf4b15478b6d0b427
34f760c9e9f65650913477f3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)Night fell.},{fc(57e4f1)Die Nacht ist gefallen.},translate,translated,displayed-string:fc-repair,0943c81d87046b834d1ad28628e6d916dca83bc4fb49baeab2b7fa07fc401281
a83186076f2b1e224ccfe6da,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)Night fell.},{fc(57e4f1)Die Nacht ist gefallen.},translate,translated,displayed-string:fc-repair,0943c81d87046b834d1ad28628e6d916dca83bc4fb49baeab2b7fa07fc401281
289e58e062f0fccebb7b66a8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Clinging to our last hope, we ventured into the mountains to the northeast.}",{fc(57e4f1)Wir klingelten bis auf unsere letzte Hoffnung und wagten uns in die Berge im Nordosten.},translate,translated,displayed-string:fc-repair,f0f67f657e211885199fb227c3558faef1a2a1a00aeb4636b3456a1f565e22a7
2c47e66f17e00361fb9798ac,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)Clinging to our last hope, we ventured into the mountains to the northeast.}",{fc(57e4f1)Wir klingelten bis auf unsere letzte Hoffnung und wagten uns in die Berge im Nordosten.},translate,translated,displayed-string:fc-repair,f0f67f657e211885199fb227c3558faef1a2a1a00aeb4636b3456a1f565e22a7
73dc99006812b8a8410c1103,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)We kept walking for some time until we approached the summit, where we finally spotted a wriggling shadow.}","{fc(57e4f1)Wir gingen einige Zeit weiter, bis wir uns dem Gipfel näherten, wo wir schließlich einen krachenden Schatten entdeckten.}",translate,translated,displayed-string:fc-repair,33be6ee990dcc1611c9dc184571d25e78af3efa52a2da9340526f1d541a25b64
76eab0d413c421a68ffbb2c8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ba_d098_m190_010.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)We kept walking for some time until we approached the summit, where we finally spotted a wriggling shadow.}","{fc(57e4f1)Wir gingen einige Zeit weiter, bis wir uns dem Gipfel näherten, wo wir schließlich einen krachenden Schatten entdeckten.}",translate,translated,displayed-string:fc-repair,33be6ee990dcc1611c9dc184571d25e78af3efa52a2da9340526f1d541a25b64
