cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c708f41c1faed9cf96ce2b98,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,1,2,string 2,I see... So this is the power of the {fc(ff635b)Second Coming}... It is indeed mighty...,Ich sehe... das ist also die Macht des {fc(ff635b)Zweiter Schritt}... Es ist tatsächlich mächtig...,translate,translated,displayed-string:fc-repair,4025eeba67c708df7e831acdb3f0c3106d88e40a2fdf49764f6f878511377584
e1b4112228c3a32777219990,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b456df09f83a6368fefadd3b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,1,4,string 4,I see... So this is the power of the {fc(ff635b)Second Coming}... It is indeed mighty...,Ich sehe... das ist also die Macht des {fc(ff635b)Zweiter Schritt}... Es ist tatsächlich mächtig...,translate,translated,displayed-string:fc-repair,4025eeba67c708df7e831acdb3f0c3106d88e40a2fdf49764f6f878511377584
c98a4364d8e74a3ca6bd7f3f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,2,2,string 2,But not enough to singe me.,"Aber nicht genug, um mich zu singen.",translate,translated,displayed-string,d809097bdcd6751ca71b75cb18dd6e08edaf4ce468c72770d0c57f21d2f5f01f
1993f50647980e6dcb84fcf9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4edddeb8ae5ad7028278f78f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,2,4,string 4,But not enough to singe me.,"Aber nicht genug, um mich zu singen.",translate,translated,displayed-string,d809097bdcd6751ca71b75cb18dd6e08edaf4ce468c72770d0c57f21d2f5f01f
579735bcf5f876d424c76132,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,3,2,string 2,No way... Even his attack didn't work...!,Nicht mal sein Angriff hat funktioniert!,translate,translated,displayed-string,4de7508f0453f1cc6ffcba4de1546fde35a5fffe2381710cd9ed7012b799a5b0
2f10160aa2f3175b25c1a0e3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
add8e83834a06662e61f7997,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,3,4,string 4,No way... Even his attack didn't work...!,Nicht mal sein Angriff hat funktioniert!,translate,translated,displayed-string,4de7508f0453f1cc6ffcba4de1546fde35a5fffe2381710cd9ed7012b799a5b0
311fdbc380407f94614c4525,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,4,2,string 2,Still... *sigh*... My word...,Immer noch... *seufz*... mein Wort...,translate,translated,displayed-string,b2d07e62a10b0ff89b7c674bc43eb0717e88d0b87e5756a4fe2cb9bff0ed9ceb
b717902e026c8f582049e3f4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3c296d11643f2235220bec80,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_ab_d087_m070_010.mbe/000_Sheet1.csv,4,4,string 4,Still... *sigh*... My word...,Immer noch... *seufz*... mein Wort...,translate,translated,displayed-string,b2d07e62a10b0ff89b7c674bc43eb0717e88d0b87e5756a4fe2cb9bff0ed9ceb
