cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
4a46026cc2986e70e9b41b62,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I was thrown into one of the cages in the Courtyard.},{fc(57e4f1)Ich wurde in einen der Käfige auf dem Hof geworfen.},translate,translated,displayed-string:fc-repair,2562ffaa43d4da659c07559433a02f91661b7f2d3ba5711b4830892171463140
2172a1244319b1cf31e81a9c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I was thrown into one of the cages in the Courtyard.},{fc(57e4f1)Ich wurde in einen der Käfige auf dem Hof geworfen.},translate,translated,displayed-string:fc-repair,2562ffaa43d4da659c07559433a02f91661b7f2d3ba5711b4830892171463140
31ec7d4369a65ec35ad87dac,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,2,2,string 2,I didn't kill them!,Ich habe sie nicht getötet!,translate,translated,displayed-string,6ee5e4955be805c64ff1f0284c7911ad2587d74b27e903397042af25c8b46e22
7e149dd7e52d5e57fceabd56,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ead4e8c1293b94a18ba25dbb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,2,4,string 4,I didn't kill them!,Ich habe sie nicht getötet!,translate,translated,displayed-string,6ee5e4955be805c64ff1f0284c7911ad2587d74b27e903397042af25c8b46e22
ae63c782d9c4a8ea588bc9ab,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,3,2,string 2,You've got it all wrong! Let me out of here!,Lassen Sie mich hier raus!,translate,translated,displayed-string,a4f0e3fbc381fb637c0694033f203fc1e1c2dbb0fcba885aff380c3db3436d19
c59a0a15bb3788c4907cd4ae,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ff2d458e923219edde152c93,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,3,4,string 4,You've got it all wrong! Let me out of here!,Lassen Sie mich hier raus!,translate,translated,displayed-string,a4f0e3fbc381fb637c0694033f203fc1e1c2dbb0fcba885aff380c3db3436d19
b700b168b2ca430d1564336e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)No matter how hard I tried to protest, Takemaru refused to listen. I was left to languish in the cage.}","{fc(57e4f1)Ganz gleich, wie sehr ich protestieren wollte, Takemaru weigerte sich zuzuhören.}",translate,translated,displayed-string:fc-repair,9c478855cd691ca3581b03e6f3918552770abaf082616e10abf362902e3d6ff4
10e7d62f025f17b3ff82111c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m030_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)No matter how hard I tried to protest, Takemaru refused to listen. I was left to languish in the cage.}","{fc(57e4f1)Ganz gleich, wie sehr ich protestieren wollte, Takemaru weigerte sich zuzuhören.}",translate,translated,displayed-string:fc-repair,9c478855cd691ca3581b03e6f3918552770abaf082616e10abf362902e3d6ff4
