cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3dc6b21e682728fc44d65bfb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,1,2,string 2,You can carry on my {fc(ff635b)wishes}... Take all the {fc(ff635b)hopes} I have here in my hand...,"Du kannst mein {fc(ff635b)Wünsche} weiterführen... Nimm all das {fc(ff635b)Hoffnungen}, das ich hier in meiner Hand habe...",translate,translated,displayed-string:fc-repair,99760a91e5f42e5c5cff9d64daaa3ac5e28af8d71c1eb497efa62b7dff1ecc40
c9c98e46422ee1a838e32c61,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
97b71872c2d4106786fa3f7a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,1,4,string 4,You can carry on my {fc(ff635b)wishes}... Take all the {fc(ff635b)hopes} I have here in my hand...,"Du kannst mein {fc(ff635b)Wünsche} weiterführen... Nimm all das {fc(ff635b)Hoffnungen}, das ich hier in meiner Hand habe...",translate,translated,displayed-string:fc-repair,99760a91e5f42e5c5cff9d64daaa3ac5e28af8d71c1eb497efa62b7dff1ecc40
55af2f7a6a77645b30c4f787,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,2,2,string 2,I promise.,Ich verspreche es.,translate,translated,displayed-string,2c9062254f6dd13293126e73494e975a5032394a79782b396872b8b2b7b05811
b950a455618b080b50ea8a45,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0d7f43de187bdf792a291bb1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,2,4,string 4,I promise.,Ich verspreche es.,translate,translated,displayed-string,2c9062254f6dd13293126e73494e975a5032394a79782b396872b8b2b7b05811
563951b8875e2e3ad0e8c937,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,3,2,string 2,Nobody wants to fight—they just want to live in peace...,Niemand will kämpfen – sie wollen nur in Frieden leben...,translate,translated,displayed-string,275da5101b0b6134d84752466e08e150b012ceb2d59700d856b72badeb065640
a036bce4b1e18e4624f184eb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
997c5714602382c61b36b3fc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,3,4,string 4,Nobody wants to fight—they just want to live in peace...,Niemand will kämpfen – sie wollen nur in Frieden leben...,translate,translated,displayed-string,275da5101b0b6134d84752466e08e150b012ceb2d59700d856b72badeb065640
8eb256464b47398ea1440f92,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,4,2,string 2,"That's all we ever wanted, too...","Das ist alles, was wir jemals wollten, auch...",translate,translated,displayed-string,b5abfd28d63f6357e80bba0c30ceda7d8845f075fdce4a28befded5d06a66964
3080ee8768fe619821f219e8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
da71db500161793ccca51cf7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,4,4,string 4,"That's all we ever wanted, too...","Das ist alles, was wir jemals wollten, auch...",translate,translated,displayed-string,b5abfd28d63f6357e80bba0c30ceda7d8845f075fdce4a28befded5d06a66964
3955fac6bcd6615f8a9b8089,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d100_m210_010.mbe/000_Sheet1.csv,5,2,string 2,The people of this planet will understand how we feel... That's what I believe...,"Die Menschen auf diesem Planeten werden verstehen, wie wir uns fühlen.",translate,translated,displayed-string,8639be962450e1226e337405090d0bdefddee4e2cae0f9d49f9e1b74a1e0f899
